surface,raw_value,row_count,merged_value,linkedin_code,linkedin_description,confidence,note
lead_databases.sector,Cross-Industry,23,Sector Agnostic,,,high,UNMAPPABLE:agnostic
lead_databases.sector,"Technology, Information and Media",11,Technology,96,Information Technology and Services,medium,LinkedIn v2 umbrella label; nearest v1 entry
lead_databases.sector,Financial Services,5,Financial Services,43,Financial Services,high,
lead_databases.sector,Business Consulting and Services,2,Professional Services,11,Management Consulting,medium,FLAG: no exact Professional Services entry in 147; 11 Management Consulting nearest
lead_databases.sector,Government Administration,2,Government,75,Government Administration,high,
lead_databases.sector,Retail,2,Retail,27,Retail,high,
lead_databases.sector,Accommodation and Food Services,1,Hospitality,31,Hospitality,medium,v2 umbrella spans hospitality and food service; 34 Food & Beverages also plausible
lead_databases.sector,Banking,1,Banking,41,Banking,high,
lead_databases.sector,Construction,1,Construction,48,Construction,high,
lead_databases.sector,Defense & Space,1,Defence,1,Defense & Space,high,
lead_databases.sector,Education,1,Education,69,Education Management,medium,generic education mapped to 69; 132 E-Learning reserved for EdTech
lead_databases.sector,Entertainment Providers,1,Entertainment,28,Entertainment,high,
lead_databases.sector,"Farming, Ranching, Forestry",1,Agriculture,63,Farming,medium,v2 umbrella also spans 64 Ranching and 61 Paper & Forest Products
lead_databases.sector,Hospitals and Health Care,1,Healthcare,14,Hospital & Health Care,high,
lead_databases.sector,Insurance,1,Insurance,42,Insurance,high,
lead_databases.sector,Manufacturing,1,Manufacturing,135,Mechanical or Industrial Engineering,low,FLAG: no generic Manufacturing entry in 147 table; 135 is nearest catch-all
lead_databases.sector,Mining & Metals,1,Mining & Metals,56,Mining & Metals,high,
lead_databases.sector,Non-profit Organizations,1,Non-Profit,100,Non-Profit Organization Management,high,
lead_databases.sector,Online and Mail Order Retail,1,E-commerce,27,Retail,medium,e-commerce; 6 Internet also plausible
lead_databases.sector,Pharmaceutical Manufacturing,1,Pharmaceuticals,15,Pharmaceuticals,high,
lead_databases.sector,Real Estate,1,Real Estate,44,Real Estate,high,
lead_databases.sector,Telecommunications,1,Telecommunications,8,Telecommunications,high,
lead_databases.sector,"Transportation, Logistics, Supply Chain and Storage",1,Logistics,116,Logistics and Supply Chain,high,
lead_databases.sector,Utilities,1,Utilities,59,Utilities,high,
lead_databases.sector,Venture Capital and Private Equity,1,Venture Capital,106,Venture Capital & Private Equity,high,
lead_databases.sector,Wholesale,1,Wholesale,133,Wholesale,high,
leads.industry,Construction,1,Construction,48,Construction,high,
leads.industry,Financial Services,1,Financial Services,43,Financial Services,high,
leads.industry,Financial Technology,1,FinTech,43,Financial Services,high,
leads.industry,Healthcare Technology,1,HealthTech,14,Hospital & Health Care,medium,healthtech product side; 4 Computer Software also plausible
leads.industry,Professional Services,1,Professional Services,11,Management Consulting,medium,FLAG: no exact Professional Services entry in 147; 11 Management Consulting nearest
leads.industry,Retail & E-commerce,1,E-commerce,27,Retail,medium,e-commerce; 6 Internet also plausible
leads.industry,Technology,1,Technology,96,Information Technology and Services,medium,generic technology label
leads.category,banking,1,Banking,41,Banking,high,
leads.category,Construction,1,Construction,48,Construction,high,
leads.category,cybersecurity,1,Cybersecurity,118,Computer & Network Security,high,
leads.category,ecommerce,1,E-commerce,27,Retail,medium,e-commerce; 6 Internet also plausible
leads.category,fintech,1,FinTech,43,Financial Services,high,
leads.category,forensic,1,Forensics,121,Security and Investigations,low,ambiguous category label; assumed forensic investigation services
leads.category,healthcare,1,Healthcare,14,Hospital & Health Care,high,
lead_submissions.sector,FinTech,1,FinTech,43,Financial Services,high,
lead_submissions.sector,MedTech,1,MedTech,17,Medical Devices,high,
innovation_ecosystem.sectors,Sector Agnostic,44,Sector Agnostic,,,high,UNMAPPABLE:agnostic
innovation_ecosystem.sectors,Cleantech,16,CleanTech,144,Renewables & Environment,high,
innovation_ecosystem.sectors,Deep Tech,14,Deep Tech,96,Information Technology and Services,low,no deep-tech entry in 147; cross-domain frontier tech (hardware/bio/space) so fit is weak
innovation_ecosystem.sectors,Healthtech,14,HealthTech,14,Hospital & Health Care,high,
innovation_ecosystem.sectors,AI,12,AI,4,Computer Software,medium,AI/analytics cluster mapped consistently to 4 Computer Software; 84 Information Services is the alternative
innovation_ecosystem.sectors,Agritech,10,AgTech,63,Farming,high,
innovation_ecosystem.sectors,Space,6,Space,1,Defense & Space,high,
innovation_ecosystem.sectors,Fintech,5,FinTech,43,Financial Services,high,
innovation_ecosystem.sectors,Foodtech,5,FoodTech,23,Food Production,medium,foodtech leans production over food service (34)
innovation_ecosystem.sectors,Cybersecurity,4,Cybersecurity,118,Computer & Network Security,high,
innovation_ecosystem.sectors,Defence,4,Defence,1,Defense & Space,high,
innovation_ecosystem.sectors,Edtech,4,EdTech,132,E-Learning,medium,edtech mapped to 132; generic Education mapped to 69
innovation_ecosystem.sectors,Manufacturing,3,Manufacturing,135,Mechanical or Industrial Engineering,low,FLAG: no generic Manufacturing entry in 147 table; 135 is nearest catch-all
innovation_ecosystem.sectors,Insurtech,2,InsurTech,42,Insurance,high,
