Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL
1V,Funding,Investor,National,$1m - $30m,,Unspecified,Tech; HealthTech,,Australian growth-stage VC investing in technology and healthcare companies from Series A through pre-IPO. Writes cheques of $1m–$30m. Backs companies with product-market fit looking to scale into global markets.,https://www.one-ventures.com.au/,2026-07-09,https://app.notion.com/p/1V-3985de22266781fd9475fa24fc2f3d9f
30X30 Scaleup Program,Programs,Accelerator,VIC,,,Unspecified,Tech,,Australia's premier scaleup program on a mission to create 30 tech unicorns by 2030. LaunchVic-backed intensive program for high-growth Victorian startups ready to scale globally.,https://launchvic.org/programs/30x30/,2026-07-09,https://app.notion.com/p/30X30-Scaleup-Program-3985de222667816fb092c434941278d6
77 Partners,Funding,Investor,National,,,Unspecified,AI; DeepTech,,"Early-stage VC backing frontier tech founders across AI, robotics, energy and quantum. Runs free Y Combinator Insights sessions for Australian founders considering applying.",https://www.77partners.vc/,2026-07-09,https://app.notion.com/p/77-Partners-3985de222667813f8b3fc37903972209
808 Ventures,Funding,Investor,National,Up to $250k,,Unspecified,Tech,,Melbourne-based micro-VC investing up to $250k in technology startups at Seed and Series A. Multi-sector focus within technology. Best suited to Australian tech founders raising initial external capital.,https://www.808ventures.vc/,2026-07-09,https://app.notion.com/p/808-Ventures-3985de22266781818e62f3965e16839c
Aboriginal Investment NT,Advice,Government,NT,"Up to 100,000",,Unspecified,,Indigenous,NT-based organisation providing grants up to $100K and business support for Aboriginal entrepreneurs.,https://nt.gov.au/,2026-07-09,https://app.notion.com/p/Aboriginal-Investment-NT-3985de22266781c699c2d84b87fde60e
ACS (Australian Computer Society),Connections,Community,National,,,Unspecified,Tech,,"Australia's largest ICT professional body with 40,000+ members. Innovation hub and accelerator programs for tech startups, mentorship, skills assessment. Owns River City Labs.",https://www.acs.org.au/,2026-07-09,https://app.notion.com/p/ACS-Australian-Computer-Society-3985de22266781799bf1f8f83d5d4169
ACT Government Grants Portal,Advice,Tool,ACT,,Always open,Open / Rolling,,,"Search ACT Government grants and funding opportunities for individuals, groups and organisations that benefit Canberrans.",https://www.act.gov.au/business/grants,2026-07-09,https://app.notion.com/p/ACT-Government-Grants-Portal-3985de22266781dcbafecee26eec1f7f
ACT Innovation Connect (ICON) Grants,Funding,Grant,ACT,"10,000 - 30,000",EOI closes Apr 2026,Scheduled / Dated,Tech,,Matched-funded grants to kick-start growth of early-stage innovative entrepreneurs and startups in the ACT.,https://cbrin.com.au/icon,2026-07-09,https://app.notion.com/p/ACT-Innovation-Connect-ICON-Grants-3985de2226678145beb5d2e8e6cac597
ACT Priority Investment Program,Funding,Grant,ACT,,,Unspecified,,,Supporting Canberra innovation precinct development and business growth.,https://cbrin.com.au/icon,2026-07-09,https://app.notion.com/p/ACT-Priority-Investment-Program-3985de22266781fcb077c9a3d09310cb
ACTivate Capital,Funding,Investor,ACT,,Always open,Open / Rolling,Defence; DeepTech; CleanTech,,"ACT's first ESVCLP. $50M fund backed by ACT Government, UNSW Canberra, Epicorp. Defence, quantum, clean energy, AI, advanced manufacturing focus.",https://epicorp.com.au/,2026-07-09,https://app.notion.com/p/ACTivate-Capital-3985de2226678162a163dd7e21dde5da
