surface,raw_value,row_count,merged_value,linkedin_code,linkedin_description,confidence,note
investors.sector_focus,SaaS,188,SaaS,4,Computer Software,high,
investors.sector_focus,Consumer,121,Consumer,25,Consumer Goods,low,Investor shorthand for consumer-facing; part business-model
investors.sector_focus,FinTech,83,FinTech,43,Financial Services,high,
investors.sector_focus,Marketplace,67,Marketplace,6,Internet,medium,Part business-model
investors.sector_focus,Generalist,61,Sector Agnostic,,,high,UNMAPPABLE:agnostic
investors.sector_focus,HealthTech,55,HealthTech,14,Hospital & Health Care,high,
investors.sector_focus,AI,45,AI & Data,4,Computer Software,medium,84 secondary
investors.sector_focus,B2B,45,B2B,,,high,UNMAPPABLE:business-model
investors.sector_focus,Tech,37,Technology,96,Information Technology and Services,medium,
investors.sector_focus,EdTech,33,EdTech,132,E-Learning,high,
investors.sector_focus,Technology,29,Technology,96,Information Technology and Services,medium,
investors.sector_focus,B2B SaaS,27,SaaS,4,Computer Software,high,
investors.sector_focus,Fintech,23,FinTech,43,Financial Services,high,Casing variant
investors.sector_focus,Sustainability,23,CleanTech,144,Renewables & Environment,medium,
investors.sector_focus,E-commerce,20,E-commerce,27,Retail,medium,6 secondary
investors.sector_focus,Impact,20,Impact,,,high,UNMAPPABLE:investment-thesis
investors.sector_focus,DeepTech,19,Deep Tech,96,Information Technology and Services,low,No deep-tech entry in 147
investors.sector_focus,Energy,19,Energy,57,Oil & Energy,medium,144 secondary
investors.sector_focus,Climate Tech,17,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,MedTech,17,MedTech,17,Medical Devices,high,
investors.sector_focus,PropTech,17,PropTech,44,Real Estate,high,
investors.sector_focus,Deep Tech,16,Deep Tech,96,Information Technology and Services,low,
investors.sector_focus,Climate,15,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Software,15,Software,4,Computer Software,high,
investors.sector_focus,Health,14,Healthcare,14,Hospital & Health Care,high,
investors.sector_focus,EnergyTech,13,CleanTech,144,Renewables & Environment,medium,57 secondary
investors.sector_focus,CleanTech,12,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Enterprise Software,12,Software,4,Computer Software,high,
investors.sector_focus,Web3,12,Web3,43,Financial Services,low,Crypto cluster; MES-extension candidate
investors.sector_focus,Cybersecurity,11,Cybersecurity,118,Computer & Network Security,high,
investors.sector_focus,DevTools,11,Software,4,Computer Software,high,
investors.sector_focus,Enterprise SaaS,11,SaaS,4,Computer Software,high,
investors.sector_focus,AgTech,10,AgTech,63,Farming,high,
investors.sector_focus,Blockchain,10,Web3,43,Financial Services,low,
investors.sector_focus,Capital Markets,10,Capital Markets,129,Capital Markets,high,
investors.sector_focus,Hardware,10,Hardware,3,Computer Hardware,medium,
investors.sector_focus,Infrastructure,10,Infrastructure,51,Civil Engineering,low,Ambiguous (digital vs physical)
investors.sector_focus,Healthcare,9,Healthcare,14,Hospital & Health Care,high,
investors.sector_focus,IoT,9,IoT,8,Telecommunications,medium,
investors.sector_focus,Logistics,9,Logistics,116,Logistics and Supply Chain,high,
investors.sector_focus,RegTech,9,RegTech,4,Computer Software,low,43 secondary
investors.sector_focus,Technology (agnostic),9,Sector Agnostic,,,high,UNMAPPABLE:agnostic
investors.sector_focus,Biotech,8,Biotechnology,12,Biotechnology,high,
investors.sector_focus,ClimateTech,8,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Crypto,8,Web3,43,Financial Services,low,
investors.sector_focus,Education,8,Education,69,Education Management,medium,
investors.sector_focus,MarTech,8,MarTech,80,Marketing and Advertising,high,
investors.sector_focus,Mobile,8,Software,4,Computer Software,medium,
investors.sector_focus,Renewables,8,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Software Development,8,Software,4,Computer Software,high,
investors.sector_focus,Agriculture,7,Agriculture,63,Farming,high,
investors.sector_focus,Cross-border,7,Cross-border,,,high,UNMAPPABLE:investment-thesis
investors.sector_focus,DTC,7,DTC,,,high,UNMAPPABLE:business-model
investors.sector_focus,Future of Work,7,Future of Work,,,medium,UNMAPPABLE:investment-thesis
investors.sector_focus,InsurTech,7,InsurTech,42,Insurance,high,
investors.sector_focus,Marketplaces,7,Marketplace,6,Internet,medium,Plural variant
investors.sector_focus,Medical Practices,7,Medical Practice,13,Medical Practice,high,Post-migration V2 group value
investors.sector_focus,Robotics,7,Robotics,147,Industrial Automation,medium,
investors.sector_focus,Social Impact,7,Impact,,,high,UNMAPPABLE:investment-thesis
investors.sector_focus,Defence,6,Defence,1,Defense & Space,high,
investors.sector_focus,Developer Tools,6,Software,4,Computer Software,high,
investors.sector_focus,Digital Health,6,HealthTech,14,Hospital & Health Care,high,
investors.sector_focus,Female Founders,6,Founder Audience,,,high,UNMAPPABLE:audience
investors.sector_focus,FoodTech,6,FoodTech,23,Food Production,high,
investors.sector_focus,LegalTech,6,LegalTech,10,Legal Services,high,
investors.sector_focus,Life Sciences,6,Life Sciences,12,Biotechnology,medium,
investors.sector_focus,Services for Renewable Energy,6,CleanTech,144,Renewables & Environment,high,Post-migration V2 group value
investors.sector_focus,Social Enterprise,6,Impact,,,high,UNMAPPABLE:investment-thesis
investors.sector_focus,AgriTech,5,AgTech,63,Farming,high,Casing variant
investors.sector_focus,All Sectors,5,Sector Agnostic,,,high,UNMAPPABLE:agnostic
investors.sector_focus,BioTech,5,Biotechnology,12,Biotechnology,high,Casing variant
investors.sector_focus,Compliance,5,RegTech,4,Computer Software,low,
investors.sector_focus,Gaming,5,Gaming,109,Computer Games,high,
investors.sector_focus,Health Tech,5,HealthTech,14,Hospital & Health Care,high,Spacing variant
investors.sector_focus,Hospitality Tech,5,Hospitality,31,Hospitality,medium,4 secondary
investors.sector_focus,Payments,5,FinTech,43,Financial Services,high,
investors.sector_focus,Renewable Energy,5,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Space,5,Defence & Space,1,Defense & Space,high,
investors.sector_focus,Wellness,5,Wellness,124,"Health, Wellness and Fitness",high,
investors.sector_focus,Women-Led,5,Founder Audience,,,high,UNMAPPABLE:audience
investors.sector_focus,AdTech,4,AdTech,80,Marketing and Advertising,high,
investors.sector_focus,Advanced Manufacturing,4,Advanced Manufacturing,135,Mechanical or Industrial Engineering,low,FLAG: no generic Manufacturing entry
investors.sector_focus,Circular Economy,4,CleanTech,144,Renewables & Environment,medium,
investors.sector_focus,Cleantech,4,CleanTech,144,Renewables & Environment,high,Casing variant
investors.sector_focus,Data Infrastructure and Analytics,4,AI & Data,4,Computer Software,medium,Post-migration V2 group value; 84 secondary
investors.sector_focus,Diversity,4,Founder Audience,,,high,UNMAPPABLE:audience
investors.sector_focus,Energy Transition,4,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Fashion,4,Apparel,19,Apparel & Fashion,high,
investors.sector_focus,Government Tech,4,GovTech,75,Government Administration,high,
investors.sector_focus,Hospitality,4,Hospitality,31,Hospitality,high,
investors.sector_focus,Internet,4,Internet,6,Internet,high,
investors.sector_focus,Mining Tech,4,Mining & Metals,56,Mining & Metals,high,
investors.sector_focus,Mobility,4,Mobility,92,Transportation/Trucking/Railroad,medium,
investors.sector_focus,Open Source,4,Software,4,Computer Software,medium,
investors.sector_focus,Retail,4,Retail,27,Retail,high,
investors.sector_focus,Retail Tech,4,Retail,27,Retail,medium,4 secondary
investors.sector_focus,Sport Tech,4,SportTech,33,Sports,medium,
investors.sector_focus,Telco,4,Telecommunications,8,Telecommunications,high,
investors.sector_focus,Telehealth,4,HealthTech,14,Hospital & Health Care,high,
investors.sector_focus,Travel Tech,4,TravelTech,30,"Leisure, Travel & Tourism",medium,
investors.sector_focus,Aerospace,3,Aerospace,52,Aviation & Aerospace,high,
investors.sector_focus,B2C,3,B2C,,,high,UNMAPPABLE:business-model
investors.sector_focus,Clean Energy,3,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Climate tech,3,CleanTech,144,Renewables & Environment,high,Casing variant
investors.sector_focus,Consumer Goods,3,Consumer Goods,25,Consumer Goods,high,
investors.sector_focus,Consumer Tech,3,Consumer,25,Consumer Goods,low,
investors.sector_focus,ConTech,3,ConstructionTech,48,Construction,medium,
investors.sector_focus,D2C,3,DTC,,,high,UNMAPPABLE:business-model
investors.sector_focus,DeFi,3,Web3,43,Financial Services,low,
investors.sector_focus,Design,3,Design,99,Design,high,
investors.sector_focus,Digital Assets,3,Web3,43,Financial Services,low,
investors.sector_focus,Engineering,3,Engineering,135,Mechanical or Industrial Engineering,medium,
investors.sector_focus,Enterprise Tech,3,Software,4,Computer Software,medium,
investors.sector_focus,EV Charging,3,CleanTech,144,Renewables & Environment,medium,
investors.sector_focus,EventTech,3,Events Tech,110,Events Services,medium,
investors.sector_focus,Food,3,Food & Beverage,34,Food & Beverages,medium,23 secondary
investors.sector_focus,HRTech,3,HR Tech,137,Human Resources,high,
investors.sector_focus,Industrial,3,Industrial,135,Mechanical or Industrial Engineering,medium,
investors.sector_focus,Innovation,3,Innovation,,,medium,UNMAPPABLE:investment-thesis
investors.sector_focus,Medical Devices,3,MedTech,17,Medical Devices,high,
investors.sector_focus,ML,3,AI & Data,4,Computer Software,medium,
investors.sector_focus,Regional Tech,3,Technology,96,Information Technology and Services,low,Part geography
investors.sector_focus,Regtech,3,RegTech,4,Computer Software,low,Casing variant
investors.sector_focus,Security,3,Cybersecurity,118,Computer & Network Security,medium,121 secondary
investors.sector_focus,Solar,3,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Studio,3,Venture Studio,,,medium,UNMAPPABLE:business-model
investors.sector_focus,Tech-Enabled Services,3,Tech-Enabled Services,,,medium,UNMAPPABLE:business-model
investors.sector_focus,VR/AR Health,3,HealthTech,14,Hospital & Health Care,medium,
investors.sector_focus,Accounting Tech,2,Accounting,47,Accounting,high,
investors.sector_focus,Ad Tech,2,AdTech,80,Marketing and Advertising,high,Spacing variant
investors.sector_focus,Aged Care,2,Aged Care,14,Hospital & Health Care,medium,
investors.sector_focus,Agri-food tech,2,AgTech,63,Farming,high,
investors.sector_focus,Agrifood,2,AgTech,63,Farming,medium,23 secondary
investors.sector_focus,AI/ML,2,AI & Data,4,Computer Software,medium,
investors.sector_focus,Automation,2,Software,4,Computer Software,medium,147 secondary
investors.sector_focus,Beauty,2,Cosmetics,18,Cosmetics,high,
investors.sector_focus,Beverage,2,Food & Beverage,34,Food & Beverages,medium,142 secondary
investors.sector_focus,Biochar,2,CleanTech,144,Renewables & Environment,medium,
investors.sector_focus,biotech,2,Biotechnology,12,Biotechnology,high,Casing variant
investors.sector_focus,Biotechnology,2,Biotechnology,12,Biotechnology,high,
investors.sector_focus,Bitcoin,2,Web3,43,Financial Services,low,
investors.sector_focus,BNPL,2,FinTech,43,Financial Services,high,
investors.sector_focus,Carbon Removal,2,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Clean energy,2,CleanTech,144,Renewables & Environment,high,Casing variant
investors.sector_focus,cleantech,2,CleanTech,144,Renewables & Environment,high,Casing variant
investors.sector_focus,Clinical Decision Support,2,HealthTech,14,Hospital & Health Care,high,
investors.sector_focus,Construction,2,Construction,48,Construction,high,
investors.sector_focus,Consumer Internet,2,Internet,6,Internet,medium,
investors.sector_focus,Creator Economy,2,Creator Economy,6,Internet,medium,
investors.sector_focus,Cyber,2,Cybersecurity,118,Computer & Network Security,high,
investors.sector_focus,Data Analytics,2,AI & Data,4,Computer Software,medium,
investors.sector_focus,Decarbonization,2,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Deep tech,2,Deep Tech,96,Information Technology and Services,low,Casing variant
investors.sector_focus,Deeptech,2,Deep Tech,96,Information Technology and Services,low,Spelling variant
investors.sector_focus,Developer Tooling,2,Software,4,Computer Software,high,
investors.sector_focus,DevOps,2,Software,4,Computer Software,high,
investors.sector_focus,Digital Games,2,Gaming,109,Computer Games,high,
investors.sector_focus,Diversified,2,Sector Agnostic,,,high,UNMAPPABLE:agnostic
investors.sector_focus,E-Learning Providers,2,EdTech,132,E-Learning,high,Post-migration V2 group value
investors.sector_focus,eCommerce,2,E-commerce,27,Retail,medium,Casing variant
investors.sector_focus,Energy Efficiency,2,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Energy Storage,2,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Entertainment,2,Entertainment,28,Entertainment,high,
investors.sector_focus,ESG,2,Impact,,,high,UNMAPPABLE:investment-thesis
investors.sector_focus,Family Tech,2,FamilyTech,,,low,UNMAPPABLE:other — niche consumer segment
investors.sector_focus,FemTech,2,FemTech,14,Hospital & Health Care,medium,
investors.sector_focus,Financial Services,2,Financial Services,43,Financial Services,high,
investors.sector_focus,fintech,2,FinTech,43,Financial Services,high,Casing variant
investors.sector_focus,FMCG,2,Consumer Goods,25,Consumer Goods,high,
investors.sector_focus,Food Tech,2,FoodTech,23,Food Production,high,Spacing variant
investors.sector_focus,Frontier Tech,2,Deep Tech,96,Information Technology and Services,low,
investors.sector_focus,GreenTech,2,CleanTech,144,Renewables & Environment,high,
investors.sector_focus,Insurtech,2,InsurTech,42,Insurance,high,Casing variant
investors.sector_focus,Interactive Media,2,Media,113,Online Media,medium,109 secondary
investors.sector_focus,Internet Marketplace Platforms,2,Marketplace,6,Internet,high,Post-migration V2 group value
