Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL,mes_table,mes_id,mes_name,mes_website,match_score,match_candidate_count,chosen_match_reason
1V,Funding,Investor,National,$1m - $30m,,Unspecified,Tech; HealthTech,,Australian growth-stage VC investing in technology and healthcare companies from Series A through pre-IPO. Writes cheques of $1m–$30m. Backs companies with product-market fit looking to scale into global markets.,https://www.one-ventures.com.au/,2026-07-09,https://app.notion.com/p/1V-3985de22266781fd9475fa24fc2f3d9f,investors_public,bad3e23b-36aa-4836-a5ec-d98df237707a,1V (OneVentures),https://one-ventures.com.au,0.800,1,full-host match + name similarity 0.80
77 Partners,Funding,Investor,National,,,Unspecified,AI; DeepTech,,"Early-stage VC backing frontier tech founders across AI, robotics, energy and quantum. Runs free Y Combinator Insights sessions for Australian founders considering applying.",https://www.77partners.vc/,2026-07-09,https://app.notion.com/p/77-Partners-3985de222667813f8b3fc37903972209,investors_public,d172d730-ccf4-428f-849c-85b9dcb248a4,77 Partners,https://www.77partners.vc,1.000,3,exact normalised name + domain match
808 Ventures,Funding,Investor,National,Up to $250k,,Unspecified,Tech,,Melbourne-based micro-VC investing up to $250k in technology startups at Seed and Series A. Multi-sector focus within technology. Best suited to Australian tech founders raising initial external capital.,https://www.808ventures.vc/,2026-07-09,https://app.notion.com/p/808-Ventures-3985de22266781818e62f3965e16839c,investors_public,f692ef37-8b90-4180-9270-26da2e2544e2,808 Ventures,https://www.808ventures.vc,1.000,14,exact normalised name + domain match
ACS (Australian Computer Society),Connections,Community,National,,,Unspecified,Tech,,"Australia's largest ICT professional body with 40,000+ members. Innovation hub and accelerator programs for tech startups, mentorship, skills assessment. Owns River City Labs.",https://www.acs.org.au/,2026-07-09,https://app.notion.com/p/ACS-Australian-Computer-Society-3985de22266781799bf1f8f83d5d4169,innovation_ecosystem,7d6588d6-d38a-43e9-92ae-03fad58e1d3e,Australian Computer Society (ACS),https://www.acs.org.au,1.000,3,exact normalised name + domain match
AfterWork Ventures,Funding,Investor,National,$100k – $500k (seed and pre-seed),Always open,Open / Rolling,Tech; SaaS,,Pre-seed and seed investor for AU/NZ startups. Syndicate of experienced operators.,https://afterwork.vc/,2026-07-09,https://app.notion.com/p/AfterWork-Ventures-3985de2226678127b9bcf4085553b428,investors_public,b756facf-5b35-4c30-bf79-c3304ca9da59,AfterWork Ventures,https://www.afterwork.vc,1.000,6,exact normalised name + domain match
AgriZeroNZ,Funding,Investor,National,NZD $500k - $10m,,Unspecified,AgTech; CleanTech,,"NZ-based public-private partnership (50% NZ government, 50% private agribusiness) with $191m committed. Exclusively funds tools and technologies that reduce biogenic methane and nitrous oxide emissions from pasture-grazed ruminant animals. Pre-Seed through Series B. Technology must demonstrate significant emission reductions and compatibility with NZ farming systems. Extremely specific mandate — agri-emissions only.",https://www.agrizero.nz/,2026-07-09,https://app.notion.com/p/AgriZeroNZ-3985de2226678175b53ec1ea9b97c5b1,investors_public,441d9766-260b-42ab-b9c3-78a1ace43c12,AgriZeroNZ,https://www.agrizero.nz,1.000,1,exact normalised name + domain match
Ai Group (Australian Industry Group),Advice,Expert,National,,,Unspecified,,,"Leading national industry association representing businesses across manufacturing, engineering, construction, defence, ICT and more. Advocacy, IR advice, training and networking.",https://aigroup.com.au/,2026-07-09,https://app.notion.com/p/Ai-Group-Australian-Industry-Group-3985de22266781038125d8f3e5e989da,trade_investment_agencies,fa17d9cf-f33f-413d-a5d4-b7845d71bc1a,AiGroup - Australian Industry Group,https://www.aigroup.com.au,0.985,1,full-host match + name similarity 0.99
AIIA (Australian Information Industry Association),Connections,Community,National,,,Unspecified,Tech,,"Australia's peak body for the digital ecosystem since 1978. Hundreds of company members representing 750,000+ workers. Advocacy, networking, education, innovation development.",https://www.aiia.com.au/,2026-07-09,https://app.notion.com/p/AIIA-Australian-Information-Industry-Association-3985de2226678170953bc251f59edbf7,innovation_ecosystem,a4a9eb4f-355e-47c7-ae3b-d13140e2f1bc,Australian Information Industry Association (AIIA),https://aiia.com.au,1.000,3,exact normalised name + domain match
Airtree Ventures,Funding,Investor,National,$100k - $250k co-invest; leads $1m - $5m seed,Always open,Open / Rolling,Tech,,"$1.3B under management. Seed to Series B. Portfolio includes Linktree, Go1, Employment Hero. Offers Open Source VC resources.",https://airtree.vc/,2026-07-09,https://app.notion.com/p/Airtree-Ventures-3985de22266781df8b58c56f1c524eaf,investors_public,a49013a0-bbfe-4ef5-9a3e-e9ede8b4135d,Airtree Ventures,https://www.airtree.vc,1.000,10,exact normalised name + domain match
Alberts Impact Ventures,Funding,Investor,National,$100k - $1.5m,,Unspecified,CleanTech; HealthTech,,"Australian early-stage VC investing $100k–$1.5m in companies with a clear positive impact across environmental sustainability, mental health and wellbeing, the arts, and equality. Pre-Seed through Series A. Does not invest in companies without an impact thesis aligned to these four focus areas.",https://www.alberts.co/impact-ventures/,2026-07-09,https://app.notion.com/p/Alberts-Impact-Ventures-3985de222667819dbc28e5ebb5149f79,investors_public,5305e066-fa0a-44dc-beeb-4be56eb85324,Alberts Impact Ventures,https://www.alberts.co/impact-ventures/,1.000,2,exact normalised name + domain match
