surface,raw_value,row_count,merged_value,linkedin_code,linkedin_description,confidence,note
events.sector,Founders & Startups,56,Startups & Founders,,,high,UNMAPPABLE:event-theme — audience theme not an industry
events.sector,AI & Data,16,AI & Data,4,Computer Software,medium,84 Information Services alternative
events.sector,Technology & Innovation,15,Technology,96,Information Technology and Services,medium,part theme part industry
events.sector,Professional Services,9,Professional Services,11,Management Consulting,medium,FLAG: no exact Professional Services entry in 147
events.sector,Business Consulting and Services,5,Professional Services,11,Management Consulting,high,Post-migration V2 group value
events.sector,Marketing & Growth,4,Marketing,80,Marketing and Advertising,high,
events.sector,Human Resources,4,Human Resources,137,Human Resources,high,
events.sector,Mining & Resources,4,Mining & Metals,56,Mining & Metals,high,
events.sector,Investing & Capital,4,Venture Capital,106,Venture Capital & Private Equity,medium,part event-theme
events.sector,Workplace Safety,3,Workplace Safety,78,Public Safety,low,No workplace-safety entry in 147
events.sector,Fintech & Financial Services,3,FinTech,43,Financial Services,high,
events.sector,Logistics & Supply Chain,3,Logistics,116,Logistics and Supply Chain,high,
events.sector,CRM & Enterprise Technology,2,Software,4,Computer Software,high,
events.sector,Accounting & Finance,2,Accounting,47,Accounting,high,
events.sector,Construction & Design,2,Construction,48,Construction,high,
events.sector,Utilities,2,Utilities,59,Utilities,high,Post-migration V2 value
events.sector,Mining & Critical Minerals,2,Mining & Metals,56,Mining & Metals,high,
events.sector,Food & Beverage Manufacturing,2,Food Production,23,Food Production,high,
events.sector,Superannuation & Financial Services,2,Investment Management,46,Investment Management,high,Superannuation = pension funds
events.sector,Venture Capital & Investment,2,Venture Capital,106,Venture Capital & Private Equity,high,
events.sector,Aged Care,2,Aged Care,14,Hospital & Health Care,medium,
events.sector,Insurance & Reinsurance,1,Insurance,42,Insurance,high,
events.sector,Pharmacy,1,Pharmacy,15,Pharmaceuticals,medium,27 Retail secondary
events.sector,Accounting Technology,1,Accounting,47,Accounting,high,
events.sector,Quantum Computing & Deep Tech,1,Deep Tech,96,Information Technology and Services,low,No deep-tech entry in 147
events.sector,Software Development,1,Software Development,4,Computer Software,high,
events.sector,Retail & eCommerce,1,E-commerce,27,Retail,high,6 Internet secondary
events.sector,Legal Technology,1,LegalTech,10,Legal Services,high,
events.sector,Health & MedTech,1,HealthTech,14,Hospital & Health Care,high,17 Medical Devices secondary
events.sector,Construction,1,Construction,48,Construction,high,
events.sector,Financial Services,1,Financial Services,43,Financial Services,high,
events.sector,Small Business,1,SME,,,high,UNMAPPABLE:event-theme
events.sector,SaaS & Tech Startups,1,SaaS,4,Computer Software,high,
events.sector,Urban Development & Smart Cities,1,Smart Cities,51,Civil Engineering,low,MES-extension candidate
events.sector,Property & Valuation,1,Real Estate,44,Real Estate,high,
events.sector,Events & Business Tourism,1,Events & Tourism,110,Events Services,medium,30 secondary
events.sector,Property & Real Estate,1,Real Estate,44,Real Estate,high,
events.sector,Corporate Governance,1,Governance,,,high,UNMAPPABLE:business-function
events.sector,Procurement & Supply Chain,1,Logistics,116,Logistics and Supply Chain,medium,
events.sector,"Data, Analytics & AI",1,AI & Data,4,Computer Software,medium,Same cluster as 'AI & Data'
events.sector,Digital Health,1,HealthTech,14,Hospital & Health Care,high,
events.sector,Cloud Computing & AI,1,AI & Data,4,Computer Software,high,
events.sector,Food & Beverage,1,Food & Beverage,34,Food & Beverages,high,
events.sector,Manufacturing & Automation,1,Industrial Automation,147,Industrial Automation,high,
