event_name,event_date_start,event_date_end,next_edition_expected,venue,city,state,organiser,organiser_website,website_url,registration_url,description,target_audience,event_type,frequency,recurring,ticket_price_range_aud,expected_attendance,exhibitor_count,sector_tags,notes,source_url,notion_page_url
"AAA National Conference & Industry Expo (Australian Airports Association)",,,"Late 2026 expected (2025 edition ran 1-4 Dec at Gold Coast Convention & Exhibition Centre); 2026 edition announced at NC25 close but dates/venue not yet published",,,,"Australian Airports Association (AAA)","https://airports.asn.au","https://airports.asn.au/national-conference/",,"The peak annual gathering for Australia's airport sector, run by the Australian Airports Association, featuring a four-day program with a large industry expo, technical forums and the National Airport Industry Awards.",,"conference_with_expo","annual",false,,,,"Transport","The peak annual gathering for Australia's airport sector - four-day program with large industry expo, Women in Airports Forum, technical forums and the National Airport Industry Awards. Buyers span airport operators, ground services, security and infrastructure. 2026 dates left blank pending official announcement - do not infer from 2025 pattern.","https://airports.asn.au/national-conference/","https://app.notion.com/p/0b4f625e79934bbd8cf12473b1f89aa1"
"AADA Convention & Expo","2026-07-29","2026-07-30",,"ICC Sydney","Sydney","NSW","Australian Automotive Dealer Association (AADA)","https://www.aada.asn.au","https://aadaconvention.com.au",,"The premier annual event for Australia's franchised new car and truck dealers, run by the AADA, featuring keynote speakers, workshops and an exhibition on dealership profitability, digital retail and industry trends.",,"conference_with_expo","annual",false,,,,,"Premier event for franchised new car and truck dealers. 2026 theme 'Leading the Way' - 50+ speakers, 16 workshops covering dealership profitability, AI, digital retail. AADA represents ~1,500 dealers operating 3,000+ dealerships.","https://premium.goauto.com.au/aada-convention-approaches/","https://app.notion.com/p/212bcedb32ad4a9d9e355cfe3aa779e8"
"ABA Banking Conference",,,"Mid-2027 (expected; 2026 edition was 17 Jun at MCEC, Melbourne)","Rotates; 2026 edition at Melbourne Convention and Exhibition Centre","Melbourne","VIC","Australian Banking Association (ABA)","https://www.ausbanking.org.au","https://www.abaevents.com.au/Banking2026",,"The Australian Banking Association's showcase annual conference, bringing bank CEOs and executives together with regulators, academics and thought leaders. Sponsorship and networking access rather than a trade floor. Useful for fintechs building credibility and relationships with the country's major and regional banks.","Bank executives, regulators, policymakers and banking-sector suppliers","industry_summit","annual",true,,,,"FinTech","2026 edition (Banking Boldly, 17 Jun, MCEC) has passed; 2027 details not yet announced.","https://www.abaevents.com.au/Banking2026","https://app.notion.com/p/ccca1f1074e04d1cbecb90e95aa45042"
"ACA Qld National Conference (Australian Childcare Alliance)","2026-06-26","2026-06-28",,"Brisbane Convention & Exhibition Centre","Brisbane","QLD","Australian Childcare Alliance Queensland (ACA Qld)","https://qld.childcarealliance.org.au","https://acaqueensland.zohobackstage.com.au/ACAQld2026NationalConference",,"A national conference for early learning service owners and operators, run by the Australian Childcare Alliance Queensland, featuring a sponsor and exhibitor program alongside conference sessions.",,"conference_with_expo","annual",false,,,,"Education","National conference for early learning service owners/operators run by ACA Qld (theme 2026: 'Dreaming Big & Driving Change'), with sponsor and exhibitor program. 2026 edition has run (26-28 Jun, BCEC). Strong owner/operator buyer audience, though organised by the Queensland branch.","https://acaqueensland.zohobackstage.com.au/ACAQld2026NationalConference","https://app.notion.com/p/52728655b5754c4ea48d5a0ab4543787"
"ACCA Annual Conference & Trade Exhibition (Cemeteries & Crematoria)","2026-09-01","2026-09-04",,"RACV Royal Pines Resort","Gold Coast","QLD","Australasian Cemeteries and Crematoria Association (ACCA)","https://accaweb.com.au","https://accaweb.com.au/about/events/",,"ACCA's annual conference and trade exhibition - the 2026 edition marks the association's 40th anniversary with keynotes, workshops and a dedicated trade exhibition.","Cemetery & crematoria operators, memorial suppliers, sector service providers","conference_with_expo","annual",true,,,,,"Officially the 37th Annual Conference & Trade Exhibition; 2026 also marks ACCA's 40th anniversary as an association. Program highlights to be announced; exhibitor and sponsor EOIs open via [email redacted].","https://accaweb.com.au/about/events/","https://app.notion.com/p/784efe782f474210b06b5a6278a2b776"
"Accounting & Business Expo","2027-03-17","2027-03-18",,"ICC Sydney","Sydney","NSW","Terrapinn","https://www.terrapinn.com","https://www.terrapinn.com/exhibition/accounting-business-expo/index.stm","https://secure.terrapinn.com/V5/step1.aspx?E=11141","A large free-to-attend trade exhibition and conference for the accounting, finance and business software world, with around 150 exhibitors and 3,700 attendees. Fintech, payments, lending and practice-software vendors exhibit to a professional buying audience of accountants and finance decision-makers. A proven, low-cost stand format for international entrants testing the Australian market.","Accountants, bookkeepers, CFOs, finance leaders, payroll professionals and business owners","trade_exhibition","annual",true,"0 (free expo registration)",3700,150,"FinTech","2026 edition (18-19 Mar, ICC Sydney) has passed; 2027 dates confirmed on the official FAQ page.","https://www.terrapinn.com/exhibition/accounting-business-expo/index.stm","https://app.notion.com/p/8ca48ae7cc53438da6f66214d50cb3d2"
"ACE - Accounting Conference & Expo (Accountants Daily)","2026-06-12","2026-06-12",,"Hyatt Regency Sydney","Sydney","NSW","Momentum Media (Accountants Daily)","https://www.accountantsdaily.com.au","https://www.accountantsdaily.com.au/ACE-accounting-conference-expo/",,"An annual one-day conference and expo for accounting professionals, run by Momentum Media's Accountants Daily, covering innovation, business strategy and regulation.",,"conference_with_expo","annual",false,,,,"Accounting","Third annual ACE conference & expo for accounting professionals - innovation, business strategy and regulation. 2026 edition has run (Fri 12 June, Hyatt Regency Sydney, principal partner Savvywise); 2027 dates to be announced. One-day format, smaller than the Accounting & Business Expo (already tracked separately).","https://www.accountantsdaily.com.au/business/22248-accounting-conference-expo-returns-for-2026","https://app.notion.com/p/c14edae0a9e04f5c953aad1654a76c6e"
"Adelaide Dental Symposium","2026-08-21","2026-08-21",,"Adelaide Convention Centre","Adelaide","SA","Australian Dental Industry Association (ADIA)","https://www.adia.org.au","https://www.adia.org.au/event/event/index",,"A one-day dental industry CPD symposium and boutique supplier exhibition in Adelaide, run by the Australian Dental Industry Association, offering two learning streams and keynote speakers.",,"conference_with_expo",,false,,,41,"MedTech","One-day CPD symposium with boutique supplier exhibition (~41 exhibitors), two learning streams and keynote speakers. Smaller than ADX but a useful SA touchpoint for dental industry vendors. Frequency not formally stated by ADIA.","https://www.adia.org.au/event/event/index","https://app.notion.com/p/7f694f9c61634379837f737698ddbe09"
"ADMA Global Forum","2026-09-08",,,,"Sydney","NSW","ADMA (Association for Data-driven Marketing and Advertising)","https://adma.com.au","https://adma.com.au","https://adma.com.au","The peak association's flagship annual forum for data-driven marketing in Australia, combining keynotes, panels and sponsor networking. A focused one-day channel to marketing data and technology buyers.","Data-driven marketing practitioners, CMOs and martech decision makers","industry_summit","annual",true,,,,"Marketing","2026 date (8 September) confirmed by ADMA's CEO via the association's official channels; an aggregator lists Sofitel Sydney Wentworth as venue - unverified officially, so venue left null.","https://www.linkedin.com/posts/andrea-martens_highlights-of-adma-global-forum-2025-activity-7371711705661480960-MtKy","https://app.notion.com/p/83d7403666634801827813365c012041"
"ADX Brisbane (Australian Dental Exhibition)","2026-10-08","2026-10-10",,"Brisbane Convention & Exhibition Centre","Brisbane","QLD","Australian Dental Industry Association (ADIA)","https://www.adia.org.au","https://www.adxbrisbane.org.au",,"Queensland's premier dental trade event, run by the Australian Dental Industry Association, offering a free trade exhibition, CPD program and Learning Labs; sister event to ADX Sydney.",,"trade_exhibition","biennial",false,,,70,"MedTech","Queensland's premier dental trade event, launched by ADIA in 2022. 70+ exhibitors across 10,000m²+ at BCEC; free to attend with CPD program, Learning Labs and complimentary childcare. Sister event to ADX Sydney (biennial, next March 2028). Exhibition hours Thu-Sat.","https://www.adia.org.au/event/event/index","https://app.notion.com/p/20d21a1a4f06449a8c0787755a924628"
