id,title,proposed_outcome,confidence,rationale
d4be2d20-ce7a-4931-9307-3d8213b194ce,"How Affirm Withdrew from the Australian Market",unsuccessful,high,"Exited Australia <18 months after entry (wind-down from Feb 2023); first country Affirm ever closed."
b264da5d-7266-47d3-87a2-5ab9e40cbe13,"How ANNA Money Entered the ANZ Market",successful,medium,"Established ANZ beachhead in 2024 via acquisition of Sydney's GetCape (its first international expansion); operating, not yet visibly scaling."
95d81b60-4580-405e-a829-c916400b1fb2,"How Banked Entered the ANZ Market",successful,medium,"Entered via NAB partnership/investment; Pay by Bank commercially live with NAB merchants H1 2024 — established foothold."
770a3d02-5b7f-4c84-8f3c-91f2bd801c03,"How Binance Australia Derivatives Lost Its AFSL",unsuccessful,medium,"ASIC cancelled its AFSL (Apr 2023) plus A$10M penalty and A$13.1M client compensation; the licensed derivatives entry ended."
ce0f1e38-9412-4aed-a289-c770379b1d4d,"How Blue Prism Entered the ANZ Market",acquired,medium,"Successful ANZ entry (Telstra anchor); company's corporate outcome was acquisition by SS&C for GBP1.27bn (2022)."
c8500587-b71d-4d1d-b3ea-b194cd72eaf3,"How Carl's Jr. Struggled in the Australian Market",unsuccessful,high,"Master franchisee CJ's Group entered voluntary administration Jul 2024, liquidated Nov 2024; 20 stores closed."
aff32a75-684e-4f09-b081-569d5e89a9f6,"How Catch.com.au Struggled in the Australian Market",unsuccessful,high,"Wound down Jan-Jun 2025 after ~A$450M cumulative losses under Wesfarmers; ~200 jobs lost."
706a94b1-0aa1-4e8f-9f08-362e3dcc347a,"How Clanwilliam Entered the ANZ Market",successful,medium,"Built a dominant, embedded ANZ clinical-communications platform via acquisitions (HealthLink, Telstra Health assets); established position."
2f605bc6-4d08-444a-8294-263e052ca49a,"How ComfortDelGro Entered the ANZ Market",scaling,medium,"Explicit multi-modal scaling strategy; successive acquisitions culminating in A2B to build Australia's largest combined taxi network."
615016bf-07a5-4d1d-9321-e2427c13dd85,"How ComplyAdvantage Entered the ANZ Market",successful,medium,"Established APAC presence (Sydney MD, FinTech Australia member) ahead of the Tranche 2 regulatory wave; positioned but early."
