Investor or Fund name	Website	About	Sector Focus	Standard investment	Cohort size	Country or Region	Usual cohort intake	How to apply or pitch
Activator LaunchHUB	https://www.rmit.edu.au/for-business/activator/startups/launch-hub	LaunchHUB is a unique accelerator 12-week program designed to support the launch of new enterprises through dedicated business coaches, resilience programs, mentors, industry experts and masterclasses. It also offers co-working space in the CBD and selective access to up to $25,000 pre-seed funding. At least one Founder has to be an RMIT student/alumni/staff.	Agnostic	up to $25,000 (0% equity)	10	Australia	July
ANDHealth+	http://www.andhealth.com.au/	ANDHealth+ is a 6-9 month program that assists digital health companies to navigate the commercialisation pathway to institutional investment and international market entry.	Digital Health	0% equity	5	Australia	TBC
Antler (Accelerator)	https://www.antler.co/residency/australia	We are a Global VC fund backing the worlds most exceptional talent.	All sectors			Australia		australia@antler.co
Atomic Sky (QuantumTX)		QuantumTX	Cross-Sector		10	Australia
Barayamal	https://barayamal.com.au/	First Nations Entrepreneurship				Australia		d.foley@barayamal.com
Bay City Labs	https://baycitylabs.acs.org.au/home.html	As a NFP we help local Aussie tech brands create global businesses.	Scaleup/Deep Tech	Varies (Last investment was $29m)	126	Australia	Individual business for a period of 12 months	scale@acs.org.au
Canberra Innovation Network	https://cbrin.com.au/coworking/	Located in the heart of Canberra City, our not-for-profit coworking space is dedicated to fostering the innovation community.	Innovative Startups			Australia		enquiries@cbrin.com.au
Catalysr Ideate	https://catalysr.com.au/	Catalysr's Ideate program is a three month course on startup basics.	Migrant & Refugee Founders	0	Max 75 teams	Australia	March / April	hello@catalysr.com.au
Catapult Business Accelerator	https://mycatapult.com.au/	The Ready to Launch program has multiple layers of learning and doing.	Food, Ag, Bio, Health, Lifestyle, Med, SAAS, eCom		20	Australia
CERI	https://www.ceri.org.au/	CERI is a social enterprise for startups, focused on the people behind innovation.	Deeptech startups			Australia		events@ceri.org.au
Cicada Innovations	https://www.cicadainnovations.com/	Cicada Innovations is the home of deep tech in Australia.	All things deep tech	Decisions are made on a case by case basis	Varies	Australia	Ongoing	core-programs@cicadainnovations.com
ClimateLaunchpad	https://www.climate-kic.org.au/our-programs/launchpad	ClimateLaunchpad is the world's biggest cleantech and green business ideas pre-accelerator.	cleantech, climate impact			Australia		australia@climatelaunchpad.org
Curtin Accelerate	https://research.curtin.edu.au/industry-partners/accelerate/	10 week part time program for Curtin students, staff members or graduates.	All	N/A	5-10 teams	Australia	January	accelerate@curtin.edu.au
Curtin Ignition	https://businesslaw.curtin.edu.au/industry/executive-education/programs/ignition/	Curtin Ignition is an intensive training program for aspiring entrepreneurs.	All	N/A	50-60 individuals	Australia	August	execed@curtin.edu.au
Edugrowth (ClearPath)	https://edugrowth.org.au/programs/clearpath/	$50k capital for 6% equity, 6 month full time program.	Education	$50k		Australia
Eighteen04	https://eighteen04.com.au/#intro	Eighteen04 is an inspirational incubator and co-working space for clean tech.	Clean tech and smart cities			Australia
EnergyLab - Acceleration Program	https://energylab.org.au/acceleration	EnergyLab's Acceleration Program is the place to be for Australian energy startups.	Clean energy and cleantech		5-10	Australia	November
EnergyLab - Women in Clean Energy Fellowship	https://energylab.org.au/wicef	The EnergyLab Women in Clean Energy Fellowship is a program to inspire women to start clean energy startups.	Clean energy	N/A	10-20	Australia	February and September	milly@energylab.org.au
Fishburners	https://www.fishburners.org	Tech coworking space home to 450+ startups.	Early stage startups - Sector agnostic	NA	NA	Australia	NA	henry@fishburners.org
Founder Institute Sydney	https://fi.co	The Founder Institute is the world's largest pre-seed startup accelerator.	Sustainability		35	Australia	2 per year
Going Global Program (NSW gov)	https://www.business.nsw.gov.au/export-from-nsw/export-assistance/export-support-packages	This program will connect eligible NSW businesses with opportunities in key global markets.	Cross-Sector, International expansion			Australia	Coming soon
Gold Coast Innovation Centre		Startup Onramp is a 12-week training and mentoring program for new founders.	General			Australia
Griffin Accelerator Program	https://cbrin.com.au/griffinaccelerator/	3+3 months, mentor driven, about half raise angel round.	Agnostic	$25,000 cash		Australia	July
Harbour City Labs	https://harbourcitylabs.acs.org.au/home.html	As a NFP we help local Aussie tech brands create global businesses.	Scaleup/Deep Tech	Varies ($29m last investment received)	106	Australia	Individual businesses for a period of 12 months	scale@acs.org.au
Hatch Quarter	https://www.hatchquarter.com.au	Hatch Quarter is an innovation hub that accelerates business success.	General			Australia		hello@hatchquarter.com.au
Haymarket HQ	https://www.haymarkethq.com	HHQ supports tech companies to start and expand into new markets.	Industry-agnostic	N/A	N/A	Australia	N/A	letschat@haymarkethq.com
Health 10x	https://www.founders.unsw.edu.au/programs-services/health-10x	UNSW Founders and The George Institute have partnered to deliver a unique national health program.	HealthTech	$20,000 seed funding as a SAFE agreement	20 pre-accelerator, 6 accelerator	Australia	June/August
HEX	https://startwithhex.com	HEX exists to launch epic careers and unlock captive talent.	General			Other	Quarterly	hell@startwithhex.com
Hoist Ai		We're an accelerator that backs entrepreneurs using artificial intelligence.	Impact-driven AI	$50-100K (capped SAFE note $1m)	5	Australia	March
Hyper	https://www.hyperhq.com/	We've spent 5 years helping 350 validate and raise money against their idea.	All Technology	$200k at between 20-30%	5 per month	Australia	Monthly
I2N Accelerator Program	https://www.newcastle.edu.au/engage/business-and-industry/integrated-innovation-network-i2n/accelerator	I2N Accelerator is designed to validate your business idea.	Agnostic	0$	5-10	Australia	August	i2n@newcastle.edu.au
I2N Cleantech Accelerator	https://www.newcastle.edu.au/cleantech-accelerator/	The I2N Cleantech Accelerator builds capability of tech-enabled entrepreneurs in the Hunter region.	Cleantech	$20k	10	Australia	August	i2n@newcastle.edu.au
iAccelerate Wollongong		Run by the University of Wollongong.	General			Australia	July
ilab	https://ventures.uq.edu.au/programs/ilab-accelerator	The University of Queensland's ilab is one of Australia's most experienced accelerators.	tech and sector agnostic	$20,000 for zero equity	12 teams per cohort	Australia	January
Illumina Accelerator	https://illumina.com/accelerator	Genomics company creation with access to seed investment and lab space.	Genomics, Biotech, Therapeutics, Diagnostics, Agritech			USA & North America	April & October	accelerator@illumina.com
Imminently	https://imminently.co/	Imminently accelerates the development of disruptive digital products.	Agnostic	Various commercial arrangement			Australia		courtenay.hollis@imminently.co
INCUBATE	https://incubate.org.au	The INCUBATE Accelerator is a 14 week program at the University of Sydney.	All sectors	$5k equity free grant	10-15 startups	Australia	May + October	hello@incubate.org.au
Innovation & Collaboration Centre	https://icc.unisa.edu.au	The ICC is the University of South Australia's startup incubator.	Space, technology, social enterprise	Free, no equity	Up to 15 companies per year	Australia	May	iccadmin@unisa.edu.au
Innovative Manufacturing Accelerator	https://www.nviflinders.com.au/scaleup/innovative-manufacturing-accelerator-program/	6 week program with research time in high tech labs.	Advanced manufacturing	$8,000	4-5	Australia	variable	carla.diaswadewitz@flinders.edu.au
Innovyz (Circular Economy Program)	https://innovyz.com/innovyz-and-green-industries/	9 month commercialisation program.	Clean energy, recycling, green tech		10	Australia	November
Insurtech Gateway Australia	https://insurtechgateway.com.au/	Insurtech Gateway Australia offers founders a speedy route to get authorised.	Insurtech	$50-$100k cash for 2.5-7.5% equity	3-5 businesses a year	Australia	All year round
Intersect	https://intersect.org.au/	Intersect helps researchers increase their impact through innovative technologies.	Research			Australia
Landing Pad	https://www.austrade.gov.au/en/how-we-can-help-you/programs-and-services/landing-pads	Landing Pads provide Australian startups with access to global innovation hubs.	Cross-Sector, International expansion			Australia	Ongoing
Launch It	https://www.launchithq.com	Launch It helps aspiring entrepreneurs turn their ideas into reality.	Agnostic			Australia		contact@launchithq.com
LTV Partners	https://ltvpartners.com.au/	We quarterback founders throughout the business lifecycle.	Agnostic			Australia		dan@ltvpartners.com.au
Macquarie University Incubator	https://www.mq.edu.au/partner/access-business-opportunities/innovation-entrepreneurship-and-it/incubator	Macquarie University Incubator.	General			Australia
MedTech Actuator	https://www.medtechactuator.com	Join early-stage healthcare startups in a 12-month accelerator program.	MedTech, BioTech & HealthTech	Up to $200K	10-15	Australia	Midyear	hello@medtechactuator.com
Melbourne Accelerator Program	https://www.themap.co/	Taking a start-up from pre-seed/seed to investment ready.	Industry Agnostic	No Equity	10 startups per year	Australia	June to Oct	mapunimelb@gmail.com
Monash Generator	https://www.monash.edu/entrepreneurship	The Monash Generator's Accelerator is a 12-week intensive program.	General	$10,000 seed funding (no equity)	10 teams	Australia	August-November	entrepreneurship@monash.edu
NextGenius	http://nextgenius.com.au/	Technology enables brilliant young minds to shine.	Web3, AI, Machine Learning					info@nextgenius.com.au
ON Accelerate	https://www.csiro.au/ON-Accelerate	CSIRO's innovation programs help researchers fast-track technology to market.	Deep Tech		20 teams	Australia	Late June	on@csiro.au
One10	https://oneten.com.au/	One10 offers three core programs, from ideation to MVP and scale.	Social and environmental impact	Variable, typically <10%	20	Australia	Rolling basis	info@oneten.com.au
Plus Eight	https://pluseight.spacecubed.com/	6 months seed-funded accelerator program.	All sectors	Avg 45k for 4.5%	15	Australia	February
RealTechX Growth Program	https://www.tarongagroup.com/realtechx	5-month program for real estate and property tech startups.	Real estate, property, retail, logistics	n/a	10 companies per year	Australia	July/August	realtechx@tarongagroup.com
Remarkable	https://www.remarkable.org/	Australia's leading accelerator for disability tech startups.	Disability and Ageing	$75,000 seed funding for 5% equity	6-8	Australia	July	hello@remarkable.org.au
