id,name_truncated,current_labels,proposed_sector_tags,proposed_sector_agnostic,confidence,rationale
08e9b69a-abf3-4065-ba31-819350cf4924,Western Sydney Start up Hub,,,true,low,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertical (do not rubber-stamp)
134aaa02-792e-4464-abbd-be5c518f83a1,Curago Coworking,,,true,low,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertical (do not rubber-stamp)
188bfdb3-14e1-44ea-b1d9-49d6fc6bf424,Launch Lab / Outset Ventures,Deep Tech,technology-information-and-media|professional-services|manufacturing,false,medium,Deep Tech (vocabulary: deep tech) — derived from the stored label only; verify against the name/title before applying
1a118575-435f-4876-8c3d-f19bc909706f,StartSpace (State Library Victoria),,,true,low,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertical (do not rubber-stamp)
1ac27f4d-e2ea-48c0-a04b-98305c1b5f96,Mill House Social Enterprise Accelerator,,,true,low,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertical (do not rubber-stamp)
1b998fc2-4ce0-404c-8f46-48dbe584f4be,Aeona,,,true,low,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertical (do not rubber-stamp)
3276af0f-4174-402e-a931-b1d82b644a81,Founders Climate 10x,CleanTech,utilities|manufacturing|professional-services,false,medium,CleanTech (vocabulary: cleantech) — derived from the stored label only; verify against the name/title before applying
3d2a02ca-a9c4-4bf3-8289-cab56b09cda4,Commons - Surry Hills,,,true,low,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertical (do not rubber-stamp)
44ec2a34-c432-4200-904d-f9dbbd5f9dfb,Works By Scentre Group,,,true,low,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertical (do not rubber-stamp)
5413c39a-b921-4635-aa13-ccbd2391eeba,cirque South Brisbane,,,true,low,no stored sector labels — propose agnostic PENDING OPERATOR REVIEW; the coworking/startup hub name may indicate a vertical (do not rubber-stamp)
