Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL
Aboriginal Investment NT,Advice,Government,NT,"Up to 100,000",,Unspecified,,Indigenous,NT-based organisation providing grants up to $100K and business support for Aboriginal entrepreneurs.,https://nt.gov.au/,2026-07-09,https://app.notion.com/p/Aboriginal-Investment-NT-3985de22266781c699c2d84b87fde60e
Allied Legal,Advice,Expert,VIC,,,Unspecified,,,"Startup-focused law firm specialising in IP, employment, and capital raising for founders and scaleups.",https://www.alliedlegal.com.au/,2026-07-09,https://app.notion.com/p/Allied-Legal-3985de2226678164a728f52bd7c83935
Appomate,Advice,Expert,National,,,Unspecified,Tech,,"App development agency specialising in mobile apps, UI/UX design, and MVP builds for startups and enterprises. Offices in Melbourne and Sydney.",https://www.appomate.com.au/,2026-07-09,https://app.notion.com/p/Appomate-3985de22266781a69b6bfa86bfa6b63e
ARENA (Australian Renewable Energy Agency),Funding,Grant,National,Varies,Rolling,Open / Rolling,CleanTech,,"Federal funding for renewable energy and clean technology innovation, including the $2.5B Future Made in Australia initiative.",https://arena.gov.au/,2026-07-09,https://app.notion.com/p/ARENA-Australian-Renewable-Energy-Agency-3985de2226678198ac7ac190c54d4a4c
Arnotts Technology Lawyers,Advice,Expert,National,,,Unspecified,,,"Specialist IP, cybersecurity, and technology transaction lawyers for tech founders across Australia.",https://arnotts.tech/,2026-07-09,https://app.notion.com/p/Arnotts-Technology-Lawyers-3985de22266781649778f0dc8853cfec
Australian Startup VC Directory,Advice,Tool,National,,,Unspecified,,,"Curated database of 150 venture capital firms active in Australia and New Zealand, with details on cheque size, sector focus, investment stage, and how to apply.",https://getsova.com.au/directory.html,2026-07-09,https://app.notion.com/p/Australian-Startup-VC-Directory-3985de2226678179a64ee7889a776247
Australian Technologies Competition,Funding,Competition,National,"100,000","Applications open Mar 2026, Finals Sep 2026",Scheduled / Dated,Tech,,"$100,000 investment package from Scalare Partners. Free entry for tech scale-ups across 12+ sectors. Launch event 10 Mar at Tank Stream Labs Sydney.",https://www.austechcomp.com/,2026-07-09,https://app.notion.com/p/Australian-Technologies-Competition-3985de2226678148b221c714282a0914
AWS Activate,Funding,Corporate,National,"Up to 100,000 credits",Apply anytime,Open / Rolling,Tech,,"Up to $100K AWS credits for startups backed by accelerators or VCs. Cloud infrastructure, technical support.",https://aws.amazon.com/activate/,2026-07-09,https://app.notion.com/p/AWS-Activate-3985de22266781c1beb6e690cd82e124
BHP Xplor,Funding,Corporate,National,"Up to US$500,000",Sep-Oct applications,Scheduled / Dated,DeepTech,,9-month accelerator for critical minerals exploration. Up to US$500K equity-free funding per company. 21 alumni companies since 2023.,https://www.bhp.com/what-we-do/xplor,2026-07-09,https://app.notion.com/p/BHP-Xplor-3985de22266781a29afdc2ef4cbbccfb
Birchal,Funding,Investor,National,"50,000 - 5 million",Apply anytime,Open / Rolling,Tech,,"Australia's largest equity crowdfunding platform. $218M+ raised, 79K+ investors, 300+ companies funded. Great for consumer brands and community-driven businesses.",https://www.birchal.com/,2026-07-09,https://app.notion.com/p/Birchal-3985de22266781b6ab52ca6a601164de
