Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL,mes_table,mes_id,mes_name,mes_website,match_score,match_candidate_count,chosen_match_reason
30X30 Scaleup Program,Programs,Accelerator,VIC,,,Unspecified,Tech,,Australia's premier scaleup program on a mission to create 30 tech unicorns by 2030. LaunchVic-backed intensive program for high-growth Victorian startups ready to scale globally.,https://launchvic.org/programs/30x30/,2026-07-09,https://app.notion.com/p/30X30-Scaleup-Program-3985de222667816fb092c434941278d6,innovation_ecosystem,4516f8e6-7dae-4511-a609-f29838932571,Launch VIC - CIVVIC Labs,https://launchvic.org/programs/civvic-labs/,0.093,1,domain match but shared/platform domain — possible program-vs-parent-org
ACT Government Grants Portal,Advice,Tool,ACT,,Always open,Open / Rolling,,,"Search ACT Government grants and funding opportunities for individuals, groups and organisations that benefit Canberrans.",https://www.act.gov.au/business/grants,2026-07-09,https://app.notion.com/p/ACT-Government-Grants-Portal-3985de22266781dcbafecee26eec1f7f,trade_investment_agencies,1a4f0009-d720-44f5-a64e-e6c27acb98c8,ACT Government,https://www.IROSaustralia.com.au,0.800,1,fuzzy name similarity 0.80 without domain corroboration
ACT Innovation Connect (ICON) Grants,Funding,Grant,ACT,"10,000 - 30,000",EOI closes Apr 2026,Scheduled / Dated,Tech,,Matched-funded grants to kick-start growth of early-stage innovative entrepreneurs and startups in the ACT.,https://cbrin.com.au/icon,2026-07-09,https://app.notion.com/p/ACT-Innovation-Connect-ICON-Grants-3985de2226678145beb5d2e8e6cac597,investors_public,d0cb636b-b271-47b9-9f60-2374a9e63b69,Innovation Connect Grants,https://cbrin.com.au/icon,0.847,4,domain match but shared/platform domain — possible program-vs-parent-org
ACT Priority Investment Program,Funding,Grant,ACT,,,Unspecified,,,Supporting Canberra innovation precinct development and business growth.,https://cbrin.com.au/icon,2026-07-09,https://app.notion.com/p/ACT-Priority-Investment-Program-3985de22266781fcb077c9a3d09310cb,innovation_ecosystem,f9610295-92de-46e1-a767-620d54301d9f,Griffin Accelerator Program,https://cbrin.com.au/griffinaccelerator/,0.448,4,domain match but shared/platform domain — possible program-vs-parent-org
ACTivate Capital,Funding,Investor,ACT,,Always open,Open / Rolling,Defence; DeepTech; CleanTech,,"ACT's first ESVCLP. $50M fund backed by ACT Government, UNSW Canberra, Epicorp. Defence, quantum, clean energy, AI, advanced manufacturing focus.",https://epicorp.com.au/,2026-07-09,https://app.notion.com/p/ACTivate-Capital-3985de2226678162a163dd7e21dde5da,investors_public,35749c98-14bb-4881-9664-a3910095c61e,Mai Capital,https://www.maicapital.com,0.741,1,fuzzy name similarity 0.74 without domain corroboration
Advance Queensland - Ignite Ideas Fund,Funding,Grant,QLD,"Up to $200,000 (Tier 1: up to $100k; Tier 2: $100k–$200k)",Currently closed (Round 13 EOI closed May 2025),Scheduled / Dated,,,Funding for commercialising innovative products and services in Queensland.,https://www.business.qld.gov.au/starting-business/advice-support/grants/innovation-ignite-ideas,2026-07-09,https://app.notion.com/p/Advance-Queensland-Ignite-Ideas-Fund-3985de222667813582d5d584137ff271,investors_public,9d99dec0-e4ca-4ad9-a8b7-cdc3133a2917,Ignite Ideas Fund,https://advance.qld.gov.au/entrepreneurs-and-startups-industry-small-business/ignite-ideas-fund,0.800,1,fuzzy name similarity 0.80 without domain corroboration
Alberts Impact Capital,Funding,Investor,NSW,,Always open,Open / Rolling,CleanTech; HealthTech,,"Albert family impact fund investing in environmental sustainability, mental health, and equality. Early-stage focus on mission-aligned founders.",https://www.alberts.co/,2026-07-09,https://app.notion.com/p/Alberts-Impact-Capital-3985de222667814ead9ac7292e80d328,investors_public,5305e066-fa0a-44dc-beeb-4be56eb85324,Alberts Impact Ventures,https://www.alberts.co/impact-ventures/,0.711,1,domain match but shared/platform domain — possible program-vs-parent-org
Alice Anderson Fund,Funding,Investor,VIC,"50,000 - 300,000",,Unspecified,,Women,"Co-investment fund for female-founded VIC startups. Investors apply on behalf of startups, not founders directly. 85% equity + 15% grant. Future uncertain due to LaunchVic merger with Breakthrough Victoria.",https://launchvic.org/our-funds/the-alice-anderson-fund/,2026-07-09,https://app.notion.com/p/Alice-Anderson-Fund-3985de22266781f7a125d1169b25ea47,innovation_ecosystem,4516f8e6-7dae-4511-a609-f29838932571,Launch VIC - CIVVIC Labs,https://launchvic.org/programs/civvic-labs/,0.293,1,domain match but shared/platform domain — possible program-vs-parent-org
ANU InnovationACT,Programs,University,ACT,"Up to 50,000",,Unspecified,,,"10-week entrepreneurship program for ANU and ACT institution students and staff. Workshops, team formation, and $50K seed grant pool.",https://cbrin.com.au/programs/iact,2026-07-09,https://app.notion.com/p/ANU-InnovationACT-3985de22266781588ee8f0c2bb6932e6,innovation_ecosystem,32dc530a-f57d-4831-82ef-bfc84c9d4317,Canberra Innovation Network,https://cbrin.com.au/coworking/,0.636,4,domain match but shared/platform domain — possible program-vs-parent-org
Artesian,Funding,Investor,National,$50k – $500k seed (VCaaS platform; A$1.4bn AUM across all strategies),Always open,Open / Rolling,Tech,,"Multi-strategy fund manager with VC, credit, and impact funds. Multiple programs for different stages.",https://www.artesian.vc/,2026-07-09,https://app.notion.com/p/Artesian-3985de22266781dd989ee902d61b2d60,investors_public,9eb80066-5412-49e5-a4ba-010ff901a59c,Artesian Capital Management,https://www.artesianinvest.com/,0.800,1,fuzzy name similarity 0.80 without domain corroboration
ASCA (Advanced Strategic Capabilities Accelerator),Programs,Accelerator,National,,,Unspecified,Defence,,"Federal government initiative accelerating quantum, AI, cyber, and hypersonics capabilities for Defence.",https://www.asca.gov.au/,2026-07-09,https://app.notion.com/p/ASCA-Advanced-Strategic-Capabilities-Accelerator-3985de222667819eabb0e028f6e56e87,investors_public,3dffc619-6276-468d-914f-a6abf540b7e7,Advanced.,https://www.getadvanced.com.au,0.800,1,fuzzy name similarity 0.80 without domain corroboration
