surface,raw_value,v2_parent_sector,linkedin_code,linkedin_description,confidence,note
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Food and Beverage Services,Accommodation and Food Services,34,Food & Beverages,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Hospitality,Accommodation and Food Services,31,Hospitality,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Collection Agencies,Administrative and Support Services,43,Financial Services,low,No 147 entry for debt collection; financial-services-adjacent
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Events Services,Administrative and Support Services,110,Events Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Facilities Services,Administrative and Support Services,122,Facilities Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Fundraising,Administrative and Support Services,101,Fund-Raising,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Office Administration,Administrative and Support Services,123,Outsourcing/Offshoring,low,No 147 entry for office administration; nearest business-support entry
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Security and Investigations,Administrative and Support Services,121,Security and Investigations,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Telephone Call Centers,Administrative and Support Services,123,Outsourcing/Offshoring,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Staffing and Recruiting,Administrative and Support Services,104,Staffing and Recruiting,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Translation and Localization,Administrative and Support Services,108,Translation and Localization,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Travel Arrangements,Administrative and Support Services,30,"Leisure, Travel & Tourism",high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Writing and Editing,Administrative and Support Services,103,Writing and Editing,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Building Construction,Construction,48,Construction,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Civil Engineering,Construction,51,Civil Engineering,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Specialty Trade Contractors,Construction,48,Construction,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Civic and Social Organizations,Consumer Services,90,Civic & Social Organization,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Household Services,Consumer Services,91,Consumer Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Non-profit Organizations,Consumer Services,100,Non-Profit Organization Management,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Personal and Laundry Services,Consumer Services,91,Consumer Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Philanthropic Fundraising Services,Consumer Services,131,Philanthropy,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Religious Institutions,Consumer Services,89,Religious Institutions,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Repair and Maintenance,Consumer Services,91,Consumer Services,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,E-Learning Providers,Education,132,E-Learning,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Higher Education,Education,68,Higher Education,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Primary and Secondary Education,Education,67,Primary/Secondary Education,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Professional Training and Coaching,Education,105,Professional Training & Coaching,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Technical and Vocational Training,Education,105,Professional Training & Coaching,medium,No 147 vocational-training entry
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Artists and Writers,Entertainment Providers,38,Fine Art,medium,Split concept; 103 Writing and Editing secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Museums, Historical Sites, and Zoos",Entertainment Providers,37,Museums and Institutions,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Musicians,Entertainment Providers,115,Music,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Performing Arts and Spectator Sports,Entertainment Providers,39,Performing Arts,medium,33 Sports secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Recreational Facilities,Entertainment Providers,40,Recreational Facilities and Services,high,
