Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL
Aboriginal Investment NT,Advice,Government,NT,"Up to 100,000",,Unspecified,,Indigenous,NT-based organisation providing grants up to $100K and business support for Aboriginal entrepreneurs.,https://nt.gov.au/,2026-07-09,https://app.notion.com/p/Aboriginal-Investment-NT-3985de22266781c699c2d84b87fde60e
Agriculture Victoria,Advice,Government,VIC,,,Unspecified,AgTech,,Supports innovation in food and fibre industries including agtech startups. Operates research facilities like AgriBio and SmartFarms. Partners on the Hugh Victor McKay Fund and Farmers2Founders.,https://agriculture.vic.gov.au/,2026-07-09,https://app.notion.com/p/Agriculture-Victoria-3985de22266781078d9bcc1dd0b7e099
AgriFutures Funding,Funding,Grant,National,"Up to 500,000",Rolling,Open / Rolling,AgTech,,"Agriculture innovation grants supporting agtech, sustainability, and rural industry startups.",https://www.agrifutures.com.au/,2026-07-09,https://app.notion.com/p/AgriFutures-Funding-3985de222667812ab75df2e0d6ed4a38
Allied Legal,Advice,Expert,VIC,,,Unspecified,,,"Startup-focused law firm specialising in IP, employment, and capital raising for founders and scaleups.",https://www.alliedlegal.com.au/,2026-07-09,https://app.notion.com/p/Allied-Legal-3985de2226678164a728f52bd7c83935
AMES Australia Settlement Services,Advice,Government,VIC,,,Unspecified,,Migrant,Settlement services for migrants and refugees including employment support and business start-up guidance.,https://ames.net.au/,2026-07-09,https://app.notion.com/p/AMES-Australia-Settlement-Services-3985de2226678177a1b5dabbb2716a4c
Appomate,Advice,Expert,National,,,Unspecified,Tech,,"App development agency specialising in mobile apps, UI/UX design, and MVP builds for startups and enterprises. Offices in Melbourne and Sydney.",https://www.appomate.com.au/,2026-07-09,https://app.notion.com/p/Appomate-3985de22266781a69b6bfa86bfa6b63e
ARAIN (National AI Adopt Centre),Advice,Government,VIC,,,Unspecified,AI; Tech,,"Commonwealth-funded National AI Adopt Centre focused on AI readiness for Australian industry. Provides AI maturity assessments, adoption roadmaps, and training for SMEs.",https://arain.com.au/,2026-07-09,https://app.notion.com/p/ARAIN-National-AI-Adopt-Centre-3985de222667815582bac8ed20167e79
ARENA (Australian Renewable Energy Agency),Funding,Grant,National,Varies,Rolling,Open / Rolling,CleanTech,,"Federal funding for renewable energy and clean technology innovation, including the $2.5B Future Made in Australia initiative.",https://arena.gov.au/,2026-07-09,https://app.notion.com/p/ARENA-Australian-Renewable-Energy-Agency-3985de2226678198ac7ac190c54d4a4c
Arnotts Technology Lawyers,Advice,Expert,National,,,Unspecified,,,"Specialist IP, cybersecurity, and technology transaction lawyers for tech founders across Australia.",https://arnotts.tech/,2026-07-09,https://app.notion.com/p/Arnotts-Technology-Lawyers-3985de22266781649778f0dc8853cfec
Australian Business Awards (ABA100),Funding,Competition,National,Recognition award (no cash prize),July 2026,Scheduled / Dated,Tech,,"Categories include Business Innovation, Product Innovation, Start-Up of the Year, AI Innovation, Digital Innovation.",https://www.australianbusinessawards.com.au/,2026-07-09,https://app.notion.com/p/Australian-Business-Awards-ABA100-3985de22266781bab026ca1081a69f3c
