id,name,current_labels,proposed_sector_tags,proposed_sector_agnostic,confidence,rationale
026986da-33e0-47cc-8dfa-8639d9fc8d3e,AI-Powered Blueprint: From Your Course Idea to M,Marketing,professional-services,false,high,Marketing (advertising services group sits under Professional Services)
042d8667-b82d-4b60-be12-7014334d76bb,AI Tech & Startup Night — Melbourne,Technology,technology-information-and-media,false,high,Technology (vocabulary: technology)
0498e14d-9056-400a-ad7e-beef227c96f7,Startup World Cup Sydney 2026,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
0c335544-8bf1-421c-b969-17fbb111b24c,Economic Development: How to Build Entrepreneuri,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
0db92c85-5b5d-4f7e-94ce-4fd7c65cb70c,Startups & Investors Pitch Night in Sydney,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
0e906482-bc7a-4534-a7ef-02ea1d1276d5,Startup Pitch Event Sydney,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
10e88def-1db2-4a17-9318-6550a2d6c769,AELERT Regulatory Masterclass on AI and Emerging,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
116384ed-d7f0-4bcb-ae20-b46f02ea52d6,Fresh Networking Doncaster - Guest Registration,Professional Services,professional-services,false,high,Professional Services (vocabulary: professional services)
16205f42-53ed-43c2-8649-3cf154936e87,IFA VIC Division Practical AI for the Fitout Ind,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
164d53ef-0dd9-491b-a6a9-592e5b6c33dc,HealthHaus Sydney · July 2026: Where HealthTech ,HealthTech,hospitals-and-health-care|technology-information-and-media,false,high,HealthTech (vocabulary: healthtech)
1729a3ea-da9a-4d35-9643-034e0e065427,Marketing in the AI Era: Strategies for Revenue ,Marketing,professional-services,false,high,Marketing (advertising services group sits under Professional Services)
187e1c09-a7ec-4114-9194-57d9a25d11a7,Interview Elevation: Share Your Value With Confi,Professional Services,professional-services,false,high,Professional Services (vocabulary: professional services)
18d3e547-d9a8-4864-8c16-1fea88cf7727,Networking & Pitch in Sydney,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
1d465834-fc0c-4563-81bb-dace6c931937,Free Startup Fundraising Video Office Hours Q&A ,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
2543c3ec-5cfd-4e8e-b430-fc94070d145d,Investor Connect: Pitch & Deal Flow Night / Sydn,Founders & Startups;Venture Capital,financial-services,false,high,Venture Capital (capital markets group sits under Financial Services)
27407b96-d4fa-48dd-a469-61ba16f2c9f7,Startup Pitch & Themed Networking Sydney / Unloc,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
29734d01-1629-4542-ad4e-7dc2b57063d9,Dinner with Entrepreneurs / Melbourne (Gold Tier,Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
29bbadbc-a705-4e8a-8e60-cc5433fe843e,Harnessing AI for Marketing Innovation / Melbour,Marketing,professional-services,false,high,Marketing (advertising services group sits under Professional Services)
33c6461a-4086-4318-835b-433fff91e7e0,AI Is Here: What Small Businesses Must Do Now,AI & Data,technology-information-and-media,false,high,AI & Data (vocabulary: ai)
36406e2a-6754-4ceb-bf7e-c25ac0ace0e1,"StartupHaus Sydney · June 2026: Where Founders, ",Founders & Startups,,true,medium,no sector labels — generic networking event; propose agnostic
374d2e68-4dac-4caf-9179-34e2b1766a26,Trade & Supply Chain Connect (VIC),Logistics,transportation-logistics-supply-chain-and-storage,false,high,Logistics (vocabulary: transport)
