decision_bucket,your_decision (import/drop/edit),your_notes,recommendation,target_table,name,sova_category,sova_type,state,proposed_type_or_investor_type,proposed_website,description,validation_flags
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,CUB (Club of United Business),Connections,Community,National,Community,https://cub.club/,"Private business club connecting Australia's most innovative entrepreneurs and business leaders. 23,000+ member network across Sydney, Melbourne, Brisbane and Parramatta with 450+ annual events and physical clubhouses.",national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,DEI Australia,Connections,Community,National,Community,https://getsova.com.au/directory.html,"Diversity, equity, and inclusion charity supporting entrepreneurs and workers with disability.",no canonical website — Source URL points back to the Sova directory | national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Entrepreneurs' Organisation (EO) Australia,Connections,Community,National,Community,https://www.eoaustralia.org/,"Global peer-to-peer network of 18,000+ entrepreneurs with Australian chapters in most capital cities. Monthly forums, learning events, and access to the global EO network. For founders of businesses with US$1M+ revenue.",URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10) | national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,service_providers,EverestEngineering,Connections,Community,VIC,Advisory,https://www.everest.engineering/,Global software engineering company with Melbourne roots. Partners with startups to build and scale products. Active in the Victorian startup community.,Sova tagged Community but this is a software dev firm | URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10) | sector inferred from description (Sova Industries was blank) | generic 'Advisory' services tag — refine in review
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Foundation for Young Australians,Connections,Community,National,Community,https://fya.org.au/,"National organisation backing young people (up to age 30) with grants, programs, and advocacy. Young Entrepreneurs program supports youth-led ventures.",national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Her Tech Circle,Connections,Community,National,Community,https://www.hertechcircle.org/,"Community for women in tech and female founders. Events, mentoring circles, and job board across Australia.",URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10) | national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Humans of Australia,Connections,Community,National,Community,https://www.instagram.com/humansofaustraliaaa/,Storytelling community celebrating diverse Australian stories including founder journeys.,"source URL is a platform/social page, not an org website | national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)"
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Impact North,Connections,Community,NT,Community,https://www.impactnorth.org.au/,NT community organisation supporting Indigenous entrepreneurship and social enterprise across Northern Australia.,introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Inspiring Rare Birds,Connections,Community,National,Community,https://inspiringrarebirds.com/,"Global entrepreneurship movement supporting women founders through mentoring programs, education, and community. 30,000+ women supported.",national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,LGBTQ+ Founders Network,Connections,Community,National,Community,https://getsova.com.au/directory.html,"Community connecting LGBTQ+ entrepreneurs across Australia. Events, mentoring, and visibility for queer-led ventures.",no canonical website — Source URL points back to the Sova directory | national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,LiveHaus,Connections,Community,National,Community,https://thelivehaus.com/,Startup community and events platform connecting founders across Australia.,national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Meshpoints,Connections,Community,WA,Community,https://www.meshpoints.com/,WA startup ecosystem connector running events and programs across Perth and regional WA.,introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Out for Australia,Connections,Community,National,Community,https://www.outforaustralia.org/,National LGBTQ+ professional network with mentoring programs supporting queer professionals and founders early in their careers.,national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Regional Accelerator Network,Connections,Community,National,Community,https://getsova.com.au/directory.html,Network connecting regional Australian founders with accelerator programs and startup support outside capital cities.,no canonical website — Source URL points back to the Sova directory | national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Regional Tech Hub,Connections,Community,National,Community,https://www.regionaltechhub.org.au/,Free advice on digital connectivity for regional Australians — relevant for regional founders needing connectivity solutions.,national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Soldier On,Connections,Community,National,Community,https://www.soldieron.org.au/,Veteran support organisation with employment programs and pathways for veteran entrepreneurs.,national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Startup Grind,Connections,Community,National,Community,https://www.startupgrind.com/,Global startup community with Australian chapters. Monthly fireside chats with successful founders and investors.,national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Student Edge,Connections,Community,National,Community,https://www.studentedge.com.au/,Australia's largest student organisation with entrepreneurship resources and youth programs for student founders.,national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,The Entrepreneur Club,Connections,Community,VIC,Community,https://www.meetup.com/the-entrepreneur-club-melbourne/,Melbourne founder community with monthly breakfast meetups. Peer support and speaker sessions for entrepreneurs.,"source URL is a platform/social page, not an org website | introduces NEW innovation_ecosystem type value 'Community' (product decision)"
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,The Product Bus,Connections,Community,VIC,Community,https://theproductbus.com/,Melbourne product management community with events and mentoring for product people and founders.,introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,The Startup Network,Connections,Community,National,Community,https://thestartupnetwork.com.au/,Australian startup community platform connecting founders through events and online network.,national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,WithYouWithMe,Connections,Community,National,Community,https://withyouwithme.com/,Tech careers platform for veterans and underrepresented groups. Training and job placement including startup pathways.,national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
A_new_community_type,,,IMPORT if 'Community' type approved,innovation_ecosystem,Young Change Agents,Connections,Community,National,Community,https://youngchangeagents.com/,Social entrepreneurship programs for young Australians aged 10-18. Design thinking and youth-led venture education.,URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10) | national org — no matching locations row | introduces NEW innovation_ecosystem type value 'Community' (product decision)
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,Australian Business Awards (ABA100),Funding,Competition,National,grant,https://www.australianbusinessawards.com.au/,"Categories include Business Innovation, Product Innovation, Start-Up of the Year, AI Innovation, Digital Innovation.","national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit"
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,Australian Technologies Competition,Funding,Competition,National,grant,https://www.austechcomp.com/,"$100,000 investment package from Scalare Partners. Free entry for tech scale-ups across 12+ sectors. Launch event 10 Mar at Tank Stream Labs Sydney.","national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit"
B_investor_type,,,KEEP as investor_type=grant (prize money),investors,Cartier Women's Initiative,Funding,Competition,National,grant,https://www.cartierwomensinitiative.com/,"International award programme backing women-founded, for-profit businesses with social or environmental impact. Fellows receive USD $30,000 to $100,000 equity-free, plus mentoring, global visibility, and a year-long fellowship. Nine regional awards (including Oceania for Australian founders) plus a Science and Technology Pioneer Award. Requires annual revenue USD $50,000–$5 million, team of 5–250 (including contractors), and no more than USD $2 million dilutive funding raised. Science and Tech track excludes AI applications built on third-party models.","national org — no matching locations row | competition mapped to investor_type=grant — prize money, review fit"
