table,id,name,final_sector_tags,final_sector_agnostic,migration_action,tag_source,rationale
events,026986da-33e0-47cc-8dfa-8639d9fc8d3e,AI-Powered Blueprint: From Your Course Idea to M,,true,leave-location-gated,operator_review,founder/general-business audience — agnostic (not an industry event)
events,042d8667-b82d-4b60-be12-7014334d76bb,AI Tech & Startup Night — Melbourne,technology-information-and-media,false,tag,stored_label,Technology (vocabulary: technology) — derived from the stored label only; verify against the name/title before applying
events,0498e14d-9056-400a-ad7e-beef227c96f7,Startup World Cup Sydney 2026,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,0c335544-8bf1-421c-b969-17fbb111b24c,Economic Development: How to Build Entrepreneuri,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,0db92c85-5b5d-4f7e-94ce-4fd7c65cb70c,Startups & Investors Pitch Night in Sydney,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,0e906482-bc7a-4534-a7ef-02ea1d1276d5,Startup Pitch Event Sydney,,true,leave-location-gated,stored_label,theme label ['Founders & Startups'] is genuinely cross-sector — propose agnostic
events,10e88def-1db2-4a17-9318-6550a2d6c769,AELERT Regulatory Masterclass on AI and Emerging,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,116384ed-d7f0-4bcb-ae20-b46f02ea52d6,Fresh Networking Doncaster - Guest Registration,professional-services,false,tag,stored_label,Professional Services (vocabulary: professional services) — derived from the stored label only; verify against the name/
events,16205f42-53ed-43c2-8649-3cf154936e87,IFA VIC Division Practical AI for the Fitout Ind,technology-information-and-media,false,tag,stored_label,AI & Data (vocabulary: ai) — derived from the stored label only; verify against the name/title before applying
events,164d53ef-0dd9-491b-a6a9-592e5b6c33dc,HealthHaus Sydney · July 2026: Where HealthTech ,hospitals-and-health-care|technology-information-and-media,false,tag,stored_label,HealthTech (vocabulary: healthtech) — derived from the stored label only; verify against the name/title before applying
events,1729a3ea-da9a-4d35-9643-034e0e065427,Marketing in the AI Era: Strategies for Revenue ,,true,leave-location-gated,operator_review,founder/general-business audience — agnostic (not an industry event)
events,187e1c09-a7ec-4114-9194-57d9a25d11a7,Interview Elevation: Share Your Value With Confi,professional-services,false,tag,stored_label,Professional Services (vocabulary: professional services) — derived from the stored label only; verify against the name/
