Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Notion page URL,proposed_name,proposed_slug,proposed_description,proposed_website,proposed_location,proposed_location_id,proposed_sector_tags,proposed_sector_agnostic,proposed_investor_type,proposed_country,confidence,validation_flags,proposed_action,source
ARENA (Australian Renewable Energy Agency),Funding,Grant,National,Varies,Rolling,Open / Rolling,CleanTech,,"Federal funding for renewable energy and clean technology innovation, including the $2.5B Future Made in Australia initiative.",https://arena.gov.au/,https://app.notion.com/p/ARENA-Australian-Renewable-Energy-Agency-3985de2226678198ac7ac190c54d4a4c,ARENA (Australian Renewable Energy Agency),arena-australian-renewable-energy-agency,"Federal funding for renewable energy and clean technology innovation, including the $2.5B Future Made in Australia initiative.",https://arena.gov.au/,Australia,,utilities; manufacturing; professional-services,false,grant,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Birchal,Funding,Investor,National,"50,000 - 5 million",Apply anytime,Open / Rolling,Tech,,"Australia's largest equity crowdfunding platform. $218M+ raised, 79K+ investors, 300+ companies funded. Great for consumer brands and community-driven businesses.",https://www.birchal.com/,https://app.notion.com/p/Birchal-3985de22266781b6ab52ca6a601164de,Birchal,birchal,"Australia's largest equity crowdfunding platform. $218M+ raised, 79K+ investors, 300+ companies funded. Great for consumer brands and community-driven businesses.",https://www.birchal.com/,Australia,,technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Birchal First,Funding,Investor,National,,Apply anytime,Open / Rolling,Tech,Women; Indigenous; Regional; Migrant,"Birchal's early-stage program for underrepresented founders including women, Indigenous, regional, and migrant entrepreneurs. Activated $6M+ for early-stage startups.",https://www.birchal.com/,https://app.notion.com/p/Birchal-First-3985de22266781a6851deccb67afe88c,Birchal First,birchal-first,"Birchal's early-stage program for underrepresented founders including women, Indigenous, regional, and migrant entrepreneurs. Activated $6M+ for early-stage startups.",https://www.birchal.com/,Australia,,technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Brisbane Lord Mayor's Women in Business Grant,Funding,Grant,QLD,"Up to 5,000",Sep-Oct annually,Scheduled / Dated,,Women,"Up to $5,000 for Brisbane women-led businesses for equipment, training, education, or professional services. Includes 12-month development program via Brisbane Business Hub. Over $1M awarded since 2021.",https://www.brisbane.qld.gov.au/,https://app.notion.com/p/Brisbane-Lord-Mayor-s-Women-in-Business-Grant-3985de2226678137bd46fe82a1b35e2e,Brisbane Lord Mayor's Women in Business Grant,brisbane-lord-mayor-s-women-in-business-grant,"Up to $5,000 for Brisbane women-led businesses for equipment, training, education, or professional services. Includes 12-month development program via Brisbane Business Hub. Over $1M awarded since 2021.",https://www.brisbane.qld.gov.au/,"Brisbane, QLD",ec57c034-85c3-48f0-b4c3-8a983a66151e,,true,grant,Australia,high,,import,sova_directory_2026-07
Business Innovation Program NT,Funding,Grant,NT,"Up to 30,000",Closed - program under review,Unspecified,,,NT Government grants plus advisor support for product development and market expansion.,https://business.nt.gov.au/,https://app.notion.com/p/Business-Innovation-Program-NT-3985de22266781bca507d1a1d98c5edb,Business Innovation Program NT,business-innovation-program-nt,NT Government grants plus advisor support for product development and market expansion.,https://business.nt.gov.au/,"Darwin, NT",30b2ae5d-6320-4c9a-abc9-6a2f52021332,,true,grant,Australia,high,,import,sova_directory_2026-07
Coralus (formerly SheEO),Funding,Investor,National,"50,000 - 100,000",Apply anytime,Open / Rolling,Tech,Women,"Radical generosity model offering 0% interest loans to women-led ventures, funded by a community of women Activators.",https://coralus.world/,https://app.notion.com/p/Coralus-formerly-SheEO-3985de22266781a1b151fb4a28c2e8d1,Coralus (formerly SheEO),coralus-formerly-sheeo,"Radical generosity model offering 0% interest loans to women-led ventures, funded by a community of women Activators.",https://coralus.world/,Australia,,technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Defence Industry Development Grants (DIDG),Funding,Grant,National,"Up to 1,000,000",Multiple rounds,Scheduled / Dated,Defence,,"Up to $1M matched funding across four streams: Sovereign Priorities, Skilling, Export, and Security for defence startups.",https://www.defence.gov.au/business-industry/industry-programs,https://app.notion.com/p/Defence-Industry-Development-Grants-DIDG-3985de222667817ba044c2e190bcc616,Defence Industry Development Grants (DIDG),defence-industry-development-grants-didg,"Up to $1M matched funding across four streams: Sovereign Priorities, Skilling, Export, and Security for defence startups.",https://www.defence.gov.au/business-industry/industry-programs,Australia,,government-administration; manufacturing,false,grant,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Earlypay,Funding,Investor,National,,Apply anytime,Open / Rolling,FinTech,,Invoice financing and equipment finance for SMEs. Turns unpaid invoices into working capital within 24 hours.,https://www.earlypay.com.au/,https://app.notion.com/p/Earlypay-3985de2226678109af59c4f01b194daf,Earlypay,earlypay,Invoice financing and equipment finance for SMEs. Turns unpaid invoices into working capital within 24 hours.,https://www.earlypay.com.au/,Australia,,financial-services; technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Fearless Innovator Grant,Funding,Grant,SA,"$20,000–$30,000 (4x $20k Launch grants + 1x $30k Elevate grant)",2026 applications close 14 Aug; recipients announced 6 Nov 2026,Open / Rolling,,Women,SA Government grants for women founders to build and scale businesses. Rebranded from Fearless Innovator Grant to FoundHer Grant Program in 2026. Delivered with Women in Innovation (WINN) and Fearless Females Network.,https://business.sa.gov.au/programs/women-in-business/foundher,https://app.notion.com/p/Fearless-Innovator-Grant-3985de2226678144bb0be28619e3ae26,Fearless Innovator Grant,fearless-innovator-grant,SA Government grants for women founders to build and scale businesses. Rebranded from Fearless Innovator Grant to FoundHer Grant Program in 2026. Delivered with Women in Innovation (WINN) and Fearless Females Network.,https://business.sa.gov.au/programs/women-in-business/foundher,"Adelaide, SA",5aaeb8f3-93c2-46ac-a601-c6c32bf6b199,,true,grant,Australia,high,,import,sova_directory_2026-07
Indiegogo,Funding,Investor,National,"1,000 - 1 million",Apply anytime,Open / Rolling,Tech,,"Global crowdfunding platform for innovative products. Flexible and fixed funding models for hardware, design, and creative projects.",https://www.indiegogo.com/,https://app.notion.com/p/Indiegogo-3985de222667813c86b8fe26d302b0c7,Indiegogo,indiegogo,"Global crowdfunding platform for innovative products. Flexible and fixed funding models for hardware, design, and creative projects.",https://www.indiegogo.com/,Australia,,technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
Kickstarter,Funding,Investor,National,"1,000 - 1 million",Apply anytime,Open / Rolling,Tech,,"Global rewards-based crowdfunding platform for creative projects, hardware, and design. All-or-nothing funding model.",https://www.kickstarter.com/,https://app.notion.com/p/Kickstarter-3985de2226678110b92ecccf24572107,Kickstarter,kickstarter,"Global rewards-based crowdfunding platform for creative projects, hardware, and design. All-or-nothing funding model.",https://www.kickstarter.com/,Australia,,technology-information-and-media,false,vc,Australia,high,national org — no matching locations row,import,sova_directory_2026-07
