Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL,target_tables,candidate_1_table,candidate_1_name,candidate_1_score,candidate_1_basis,candidate_2_table,candidate_2_name,candidate_2_score,candidate_2_basis,candidate_3_table,candidate_3_name,candidate_3_score,candidate_3_basis
NSW MVP Ventures Program,Funding,Grant,NSW,"25,000 - 75,000",Round 3 closed 10 Apr 2026; check for Round 4 opening,Inactive,Tech; AgTech; HealthTech; CleanTech,Women; Regional; Indigenous,"Matched grants $25K-$75K for NSW startups commercialising minimum viable products. Priority for women, regional, and Indigenous founders.",https://www.nsw.gov.au/business-and-economy/innovation/grants-and-programs/mvp-ventures-program,2026-07-09,https://app.notion.com/p/NSW-MVP-Ventures-Program-3985de222667815ca09bfd894b7a7f28,investors_public; trade_investment_agencies,investors_public,M8 Ventures,0.870,core-name 'mvp ventures' ~ 'm8 ventures',investors_public,PB Ventures,0.870,core-name 'mvp ventures' ~ 'pb ventures',investors_public,CP Ventures,0.870,core-name 'mvp ventures' ~ 'cp ventures'
REACH Australia and New Zealand,Funding,Investor,QLD,,,Unspecified,Tech,,Global proptech growth program (Second Century Ventures / NAR) supporting real estate technology companies scaling in ANZ.,https://www.reach.vc/,2026-07-09,https://app.notion.com/p/REACH-Australia-and-New-Zealand-3985de2226678144a2fbd01d9f562d2a,investors_public; trade_investment_agencies,trade_investment_agencies,AmCham New Zealand,0.857,core-name 'reach new zealand' ~ 'amcham new zealand',investors_public,REACH ANZ,0.615,core-name 'reach new zealand' ~ 'reach anz',,,,
AgriFutures Funding,Funding,Grant,National,"Up to 500,000",Rolling,Open / Rolling,AgTech,,"Agriculture innovation grants supporting agtech, sustainability, and rural industry startups.",https://www.agrifutures.com.au/,2026-07-09,https://app.notion.com/p/AgriFutures-Funding-3985de222667812ab75df2e0d6ed4a38,investors_public; trade_investment_agencies,investors_public,Agrifutures Australia RD&E Investment,0.800,core-name 'agrifutures' ~ 'agrifutures rd e investment',investors_public,OIF Ventures,0.609,core-name 'agrifutures' ~ 'oif ventures',,,,
Cohort Innovation Space,Programs,Accelerator,QLD,,,Unspecified,HealthTech; Tech,,"Gold Coast Health and Knowledge Precinct launchpad for health, science and tech ventures. Runs LuminaX healthtech accelerator, InvestFest, NextGen pre-accelerator, Founders Club peer learning and monthly Office Hours mentoring.",https://cohortspace.com.au/,2026-07-09,https://app.notion.com/p/Cohort-Innovation-Space-3985de2226678125b8b0c5b6469c3ff9,innovation_ecosystem; trade_investment_agencies; investors_public,innovation_ecosystem,Canberra Innovation Network,0.800,core-name 'cohort innovation space' ~ 'innovation',innovation_ecosystem,CORE Innovation Hub,0.737,core-name 'cohort innovation space' ~ 'core innovation',innovation_ecosystem,CSIRO Innovation Centre,0.696,full normalised name
Queensland Female Founders Co-Investment Fund,Funding,Grant,QLD,"50,000 - 200,000",Open until allocated,Open / Rolling,,Women,Co-investment matching private investment $50K-$200K into Queensland women-founded startups.,https://www.business.qld.gov.au/,2026-07-09,https://app.notion.com/p/Queensland-Female-Founders-Co-Investment-Fund-3985de22266781ad81a3cdbda926385d,investors_public; trade_investment_agencies,trade_investment_agencies,Investment NSW,0.800,core-name 'female founders co investment' ~ 'investment',trade_investment_agencies,Trade and Investment Queensland,0.622,core-name 'female founders co investment' ~ 'trade investment',investors_public,Marbruck Investments,0.612,core-name 'female founders co investment' ~ 'marbruck investments'
Regional Accelerator Network,Connections,Community,National,,,Unspecified,,Regional,Network connecting regional Australian founders with accelerator programs and startup support outside capital cities.,https://getsova.com.au/directory.html,2026-07-09,https://app.notion.com/p/Regional-Accelerator-Network-3985de2226678159844cd80cbb5a8e28,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,I2N Accelerator Program,0.800,core-name 'regional accelerator' ~ 'i2n accelerator',innovation_ecosystem,Griffin Accelerator Program,0.769,core-name 'regional accelerator' ~ 'griffin accelerator',innovation_ecosystem,Illumina Accelerator,0.750,core-name 'regional accelerator' ~ 'illumina accelerator'
Startup & Angels,Funding,Investor,National,,,Unspecified,Tech,,Networking event series connecting startups and angel investors across Australia and Asia-Pacific.,https://www.startupandangels.com/,2026-07-09,https://app.notion.com/p/Startup-Angels-3985de2226678153bec5f6dcc19f1928,investors_public; trade_investment_agencies,investors_public,Perth Angels,0.800,core-name 'startup angels' ~ 'angels',investors_public,Melbourne Angels,0.800,core-name 'startup angels' ~ 'angels',investors_public,Sydney Angels,0.800,core-name 'startup angels' ~ 'angels'
Startup Victoria,Advice,Government,VIC,,,Unspecified,Tech,,"Victoria's startup community (now part of LaunchVic ecosystem). Events, founder resources, and Melbourne startup network.",https://startupvictoria.com.au/,2026-07-09,https://app.notion.com/p/Startup-Victoria-3985de222667815b9565f1de8dc7c472,community_members_public; service_providers,service_providers,LUNA Startup Studio,0.800,core-name 'startup' ~ 'luna startup studio',service_providers,Invest Victoria,0.710,full normalised name,,,,
The Entrepreneur Club,Connections,Community,VIC,,Monthly (last Friday),Scheduled / Dated,,,Melbourne founder community with monthly breakfast meetups. Peer support and speaker sessions for entrepreneurs.,https://www.meetup.com/the-entrepreneur-club-melbourne/,2026-07-09,https://app.notion.com/p/The-Entrepreneur-Club-3985de2226678115ae0be23f7d4e4168,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,Australian Clinical Entrepreneur Program,0.800,core-name 'entrepreneur' ~ 'clinical entrepreneur',,,,,,,,
TiE Women Global Pitch Competition,Funding,Competition,National,"USD $50,000",Closes 15 Jun 2026,Scheduled / Dated,,Women,Global pitch competition for women founders. USD $50K grand prize with regional finals feeding global final.,https://tieglobal.org/,2026-07-09,https://app.notion.com/p/TiE-Women-Global-Pitch-Competition-3985de22266781689291d22f5bdbc9bb,investors_public; trade_investment_agencies,trade_investment_agencies,Global Victoria,0.800,core-name 'tie women global pitch competition' ~ 'global',,,,,,,,
