Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Notion page URL,proposed_name,proposed_slug,proposed_description,proposed_website,proposed_location,proposed_location_id,proposed_sector_tags,proposed_sector_agnostic,proposed_type,proposed_sectors,proposed_founded,proposed_employees,confidence,validation_flags,proposed_action,source
Australian Network on Disability,Connections,Community,National,,,Unspecified,,Disability,Membership organisation connecting employers and businesses to disability inclusion best practices.,https://www.and.org.au/,https://app.notion.com/p/Australian-Network-on-Disability-3985de222667815f8b92cda61b30e7d8,Australian Network on Disability,australian-network-on-disability,Membership organisation connecting employers and businesses to disability inclusion best practices.,https://www.and.org.au/,Australia,,,true,Industry Body,,,,high,national org — no matching locations row,import,sova_directory_2026-07
CUB (Club of United Business),Connections,Community,National,,,Unspecified,,,"Private business club connecting Australia's most innovative entrepreneurs and business leaders. 23,000+ member network across Sydney, Melbourne, Brisbane and Parramatta with 450+ annual events and physical clubhouses.",https://cub.club/,https://app.notion.com/p/CUB-Club-of-United-Business-3985de2226678118a85dce03d94472ee,CUB (Club of United Business),cub-club-of-united-business,"Private business club connecting Australia's most innovative entrepreneurs and business leaders. 23,000+ member network across Sydney, Melbourne, Brisbane and Parramatta with 450+ annual events and physical clubhouses.",https://cub.club/,Australia,,,true,Community,,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Cohort Innovation Space,Programs,Accelerator,QLD,,,Unspecified,HealthTech; Tech,,"Gold Coast Health and Knowledge Precinct launchpad for health, science and tech ventures. Runs LuminaX healthtech accelerator, InvestFest, NextGen pre-accelerator, Founders Club peer learning and monthly Office Hours mentoring.",https://cohortspace.com.au/,https://app.notion.com/p/Cohort-Innovation-Space-3985de2226678125b8b0c5b6469c3ff9,Cohort Innovation Space,cohort-innovation-space,"Gold Coast Health and Knowledge Precinct launchpad for health, science and tech ventures. Runs LuminaX healthtech accelerator, InvestFest, NextGen pre-accelerator, Founders Club peer learning and monthly Office Hours mentoring.",https://cohortspace.com.au/,"Brisbane, QLD",ec57c034-85c3-48f0-b4c3-8a983a66151e,hospitals-and-health-care; technology-information-and-media,false,Accelerator,HealthTech; Technology,,,high,,import,sova_directory_2026-07
Creative Destruction Lab Melbourne,Programs,Accelerator,VIC,"No funding - no fees, no equity",Annual (2026 applications close 24 Jul),Scheduled / Dated,DeepTech,,Nonprofit seed-stage program for deep-tech founders hosted by Monash Business School. Part of a global network connecting founders with experienced mentors.,https://creativedestructionlab.com/locations/melbourne/,https://app.notion.com/p/Creative-Destruction-Lab-Melbourne-3985de22266781b28aa9d2b5609c385e,Creative Destruction Lab Melbourne,creative-destruction-lab-melbourne,Nonprofit seed-stage program for deep-tech founders hosted by Monash Business School. Part of a global network connecting founders with experienced mentors.,https://creativedestructionlab.com/locations/melbourne/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,technology-information-and-media; professional-services; manufacturing,false,Accelerator,Deep Tech,,,high,,import,sova_directory_2026-07
Cremorne Digital Hub,Connections,Community,VIC,,,Unspecified,Tech,,"Victorian Government-backed innovation hub connecting startups, scaleups, corporates and investors in Melbourne's Cremorne tech precinct. Coworking, corporate innovation programs, and inbound market support.",https://www.cremornedigitalhub.com.au/,https://app.notion.com/p/Cremorne-Digital-Hub-3985de222667814ea17ffc5b1e5df3e7,Cremorne Digital Hub,cremorne-digital-hub,"Victorian Government-backed innovation hub connecting startups, scaleups, corporates and investors in Melbourne's Cremorne tech precinct. Coworking, corporate innovation programs, and inbound market support.",https://www.cremornedigitalhub.com.au/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,technology-information-and-media,false,Incubator; Coworking Space,Technology,,,high,,import,sova_directory_2026-07
D10x Accelerator,Programs,Accelerator,NSW,"Up to 350,000",,Unspecified,Defence,,UNSW-led defence tech accelerator providing $350k per startup to develop dual-use technologies.,https://dtb.solutions/accelerators/,https://app.notion.com/p/D10x-Accelerator-3985de22266781d1aba1edbf1d1fe442,D10x Accelerator,d10x-accelerator,UNSW-led defence tech accelerator providing $350k per startup to develop dual-use technologies.,https://dtb.solutions/,"Sydney, NSW",862f8ee1-db85-420d-a6bd-fab368f5ab22,government-administration; manufacturing,false,Accelerator,Defence & Space,,,high,URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10),import,sova_directory_2026-07
DEI Australia,Connections,Community,National,,,Unspecified,,Disability,"Diversity, equity, and inclusion charity supporting entrepreneurs and workers with disability.",https://getsova.com.au/directory.html,https://app.notion.com/p/DEI-Australia-3985de22266781f88ba1d8fb01240d08,DEI Australia,dei-australia,"Diversity, equity, and inclusion charity supporting entrepreneurs and workers with disability.",,Australia,,,true,Community,,,,high,"no canonical website — Source URL points back to the Sova directory | national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Deakin Renewable Energy Pre-Accelerator,Programs,University,VIC,,,Unspecified,CleanTech,,LaunchVic-supported program helping Deakin students and researchers develop business ideas in the renewable energy sector.,https://www.deakin.edu.au/,https://app.notion.com/p/Deakin-Renewable-Energy-Pre-Accelerator-3985de2226678153abe4f9db7d3e96b3,Deakin Renewable Energy Pre-Accelerator,deakin-renewable-energy-pre-accelerator,LaunchVic-supported program helping Deakin students and researchers develop business ideas in the renewable energy sector.,https://www.deakin.edu.au/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,utilities; manufacturing; professional-services,false,Incubator,CleanTech,,,high,university program mapped to Incubator,import,sova_directory_2026-07
Defence Trailblazer,Programs,Accelerator,National,,,Unspecified,Defence,,"National defence innovation program funding collaborative R&D between startups, universities, and Defence.",https://dtb.solutions/,https://app.notion.com/p/Defence-Trailblazer-3985de22266781759cb3f000671108f6,Defence Trailblazer,defence-trailblazer,"National defence innovation program funding collaborative R&D between startups, universities, and Defence.",https://dtb.solutions/,Australia,,government-administration; manufacturing,false,Accelerator,Defence & Space,,,high,national org — no matching locations row,import,sova_directory_2026-07
Entrepreneurs' Organisation (EO) Australia,Connections,Community,National,,,Unspecified,,,"Global peer-to-peer network of 18,000+ entrepreneurs with Australian chapters in most capital cities. Monthly forums, learning events, and access to the global EO network. For founders of businesses with US$1M+ revenue.",https://eonetwork.org/australia/,https://app.notion.com/p/Entrepreneurs-Organisation-EO-Australia-3985de222667810984e0f86ba61fd145,Entrepreneurs' Organisation (EO) Australia,entrepreneurs-organisation-eo-australia,"Global peer-to-peer network of 18,000+ entrepreneurs with Australian chapters in most capital cities. Monthly forums, learning events, and access to the global EO network. For founders of businesses with US$1M+ revenue.",https://www.eoaustralia.org/,Australia,,,true,Community,,,,high,"URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10) | national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Flinders NVI,Programs,University,SA,,,Unspecified,,,"Flinders University's New Venture Institute. eNVIsion incubator, Venture Dorm pre-accelerator, and student entrepreneurship programs in Adelaide.",https://www.flinders.edu.au/nvi,https://app.notion.com/p/Flinders-NVI-3985de2226678198b3d8db46a9bf1172,Flinders NVI,flinders-nvi,"Flinders University's New Venture Institute. eNVIsion incubator, Venture Dorm pre-accelerator, and student entrepreneurship programs in Adelaide.",https://www.flinders.edu.au/new-venture-institute,"Adelaide, SA",5aaeb8f3-93c2-46ac-a601-c6c32bf6b199,,true,Incubator,,,,high,URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10) | university program mapped to Incubator,import,sova_directory_2026-07
Foundation for Young Australians,Connections,Community,National,,,Unspecified,,Youth,"National organisation backing young people (up to age 30) with grants, programs, and advocacy. Young Entrepreneurs program supports youth-led ventures.",https://fya.org.au/,https://app.notion.com/p/Foundation-for-Young-Australians-3985de222667816ba635d5635b193203,Foundation for Young Australians,foundation-for-young-australians,"National organisation backing young people (up to age 30) with grants, programs, and advocacy. Young Entrepreneurs program supports youth-led ventures.",https://fya.org.au/,Australia,,,true,Community,,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Founders Factory Nature Tech,Programs,Accelerator,WA,,"6 startups per cohort, Feb intake",Scheduled / Dated,CleanTech; AgTech,,"Global venture studio's nature tech accelerator backed by BHP. Supports startups in mining rehabilitation, biodiversity monitoring, and environmental markets.",https://www.foundersfactory.com/sectors/nature-tech/,https://app.notion.com/p/Founders-Factory-Nature-Tech-3985de2226678160b344ef4146abc67f,Founders Factory Nature Tech,founders-factory-nature-tech,"Global venture studio's nature tech accelerator backed by BHP. Supports startups in mining rehabilitation, biodiversity monitoring, and environmental markets.",https://foundersfactory.com/western-australia-government-nature-tech-accelerator/,"Perth, WA",89b7453d-6827-428f-ac94-7092c1df6264,utilities; manufacturing; professional-services; farming-ranching-forestry; technology-information-and-media,false,Accelerator,CleanTech; AgTech,,,high,URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10),import,sova_directory_2026-07
Game Plus,Connections,Community,National,,,Unspecified,Tech,,"Coworking and community hubs for game developers in Adelaide, Canberra and online. Connects game studios, publishers, and creative tech startups.",https://www.gameplus.com.au/,https://app.notion.com/p/Game-Plus-3985de22266781999fc1fcb9bef04842,Game Plus,game-plus,"Coworking and community hubs for game developers in Adelaide, Canberra and online. Connects game studios, publishers, and creative tech startups.",https://www.gameplus.com.au/,Australia,,entertainment-providers; technology-information-and-media,false,Coworking Space,Gaming,,,high,national org — no matching locations row | sector inferred from description (Sova Industries was blank),import,sova_directory_2026-07
Good Humans Venture Studio,Programs,Accelerator,National,,,Unspecified,Tech,Women; Indigenous; Migrants; Disability,"Venture studio backing underrepresented founders including women, First Nations, migrant, and disabled entrepreneurs. Co-builds ventures from idea stage.",https://goodhumans.ventures/,https://app.notion.com/p/Good-Humans-Venture-Studio-3985de22266781bb9ffde529565d3f32,Good Humans Venture Studio,good-humans-venture-studio,"Venture studio backing underrepresented founders including women, First Nations, migrant, and disabled entrepreneurs. Co-builds ventures from idea stage.",https://goodhumans.ventures/,Australia,,technology-information-and-media,false,Accelerator,Technology,,,high,national org — no matching locations row,import,sova_directory_2026-07
Google for Startups Accelerator: AI First,Programs,Accelerator,National,Equity-free + $350K credits,Applications currently open; 10-week hybrid program (Sep–Nov),Open / Rolling,AI; Tech,,"10-week equity-free accelerator for AI-first startups in Australia. Technical deep dives, Google mentorship, up to US$350K in Cloud credits.",https://startup.google.com/programs/accelerator/australia-new-zealand/,https://app.notion.com/p/Google-for-Startups-Accelerator-AI-First-3985de22266781bea7e1fc50e3c610ca,Google for Startups Accelerator: AI First,google-for-startups-accelerator-ai-first,"10-week equity-free accelerator for AI-first startups in Australia. Technical deep dives, Google mentorship, up to US$350K in Cloud credits.",https://startup.google.com/programs/accelerator/australia-new-zealand/,Australia,,technology-information-and-media,false,Accelerator,AI & Data; Technology,,,high,national org — no matching locations row,import,sova_directory_2026-07
Her Tech Circle,Connections,Community,National,,,Unspecified,Tech,Women,"Community for women in tech and female founders. Events, mentoring circles, and job board across Australia.",https://hertechcircle.com.au/,https://app.notion.com/p/Her-Tech-Circle-3985de222667810b99cce308cf76fe47,Her Tech Circle,her-tech-circle,"Community for women in tech and female founders. Events, mentoring circles, and job board across Australia.",https://www.hertechcircle.org/,Australia,,technology-information-and-media,false,Community,Technology,,,high,"URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10) | national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Humans of Australia,Connections,Community,National,,,Unspecified,,,Storytelling community celebrating diverse Australian stories including founder journeys.,https://www.instagram.com/humansofaustraliaaa/,https://app.notion.com/p/Humans-of-Australia-3985de22266781f5ab15c664bce7e0e3,Humans of Australia,humans-of-australia,Storytelling community celebrating diverse Australian stories including founder journeys.,https://www.instagram.com/humansofaustraliaaa/,Australia,,,true,Community,,,,high,"source URL is a platform/social page, not an org website | national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Impact North,Connections,Community,NT,,,Unspecified,,Indigenous,NT community organisation supporting Indigenous entrepreneurship and social enterprise across Northern Australia.,https://www.impactnorth.org.au/,https://app.notion.com/p/Impact-North-3985de2226678107b220e4bcc6ebac95,Impact North,impact-north,NT community organisation supporting Indigenous entrepreneurship and social enterprise across Northern Australia.,https://www.impactnorth.org.au/,"Darwin, NT",30b2ae5d-6320-4c9a-abc9-6a2f52021332,,true,Community,,,,high,"innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Inspiring Rare Birds,Connections,Community,National,,,Unspecified,,Women,"Global entrepreneurship movement supporting women founders through mentoring programs, education, and community. 30,000+ women supported.",https://inspiringrarebirds.com/,https://app.notion.com/p/Inspiring-Rare-Birds-3985de22266781b4ab08efafc7ee028f,Inspiring Rare Birds,inspiring-rare-birds,"Global entrepreneurship movement supporting women founders through mentoring programs, education, and community. 30,000+ women supported.",https://inspiringrarebirds.com/,Australia,,,true,Community,,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Jumar Bioincubator,Programs,Accelerator,VIC,,,Unspecified,BioTech; HealthTech,,Melbourne biotech incubator with wet labs and shared facilities. Purpose-built for early-stage biotech and medtech ventures at the Parkville precinct.,https://www.jumarbio.com/,https://app.notion.com/p/Jumar-Bioincubator-3985de22266781ac8335ed16e27512c8,Jumar Bioincubator,jumar-bioincubator,Melbourne biotech incubator with wet labs and shared facilities. Purpose-built for early-stage biotech and medtech ventures at the Parkville precinct.,https://www.jumarbio.com/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,hospitals-and-health-care; technology-information-and-media,false,Accelerator,Biotechnology; HealthTech,,,high,BioTech mapped via healthtech (no biotech vocab entry),import,sova_directory_2026-07
