_total_score,name,slug,is_featured,archetype,title,company,location,specialties,persona_fit,origin_country,associated_countries,description,experience,experience_tiles,website,contact,image,is_active,is_anonymous,location_id,_source_row
28.5,Duco van Breemen,duco-van-breemen,True,Trade & Government,Chief Executive Officer,Haymarket HQ,Greater Sydney Area,Trade & Government; Cross-border,international_entrant,uk,uk; australia,"Helping companies expand into Australia with proven GTM and sales systems | 1,000+ founders supported · I help startups and SMEs grow their business.That might mean entering a new market, building a stronger sales system, or turning scattered leads into a repeatable pipeline.At Haymarket HQ, I’ve worked with more than 1,000 companies expanding into and across APAC. We’re the partner of the Singapore Government for their tech companies entering Australia, and we’ve supported organisations like Alibaba, Australia Post, and Tech Central to help more founders and teams grow across the region.I’ve seen",Senior operator with extensive ANZ market experience.,"[{""name"": ""Haymarket HQ""}, {""name"": ""Stoov""}]",https://linkedin.com/in/ducovanbreemen,,,True,False,,Duco van Breemen
25.0,Kelsey Hill,kelsey-hill,True,Trade & Government,"Assistant Program Director, Accessing New Markets Initiative (ANMI) - Americas & EMEA",Australian Trade and Investment Commission (Austrade),"Melbourne, Victoria, Australia",Trade & Government; Cross-border,international_entrant,germany,germany; australia,"Supporting Australian exporters to diversify and grow in the Americas & EMEA International Trade & Investment · I’m a trade and investment professional currently supporting Australian exporters to diversify and grow in new export markets under the Australian Government's A$50 million Accessing New Markets Initiative (ANMI).As ANMI Assistant Program Director - Americas & EMEA, I collaborate with Austrade's Business Development teams, government and industry partners, and bilateral associations to help Australian businesses grow their global footprint and export sales. My career spans Australia, the UK, Ger",Senior operator with extensive ANZ market experience.,"[{""name"": ""Australian Trade and Investment Commission (Austrade)""}, {""name"": ""Self employed""}]",https://linkedin.com/in/kelseyhill1,,,True,False,,Kelsey Hill
23.5,Paul Wright,paul-wright,True,Trade & Government,Chief Commercial Officer,Australian British Chamber of Commerce,Greater Sydney Area,Trade & Government; Sales / GTM,international_entrant,,australia,Chief Commercial Officer at Australian British Chamber of Commerce · I am a sales professional with 15 years of experience in leading global organisations. My roles have focused on acquiring and providing strategic account management to national and international multi-million dollar accounts across a wide range of industries.I am an expert networker with an extensive network of quality connections. My personal networking philosophy focuses on building genuine long term relationships rather than simply chasing a sale and this has seen me achieve great success.I a,15+ years operating experience in ANZ and international markets.,"[{""name"": ""Australian British Chamber of Commerce""}, {""name"": ""RateSetter""}]",https://linkedin.com/in/paulawright,,,True,False,,Paul Wright
23.5,Cheryl Mack,cheryl-mack,True,Active Advisor,CEO,Aussie Angels,"Sydney, New South Wales, Australia",Active Advisor; Fundraising / Investment,international_entrant,canada,canada; australia,"CEO at Aussie Angels, CMACK Ventures, 361 Angel Club · I help founders & angel investors, read on...I’m a community builder at heart, always driving value and genuine connections within the many small and large communities I’ve built and managed. As a natural connector, I love bringing people together and as an extrovert, I love meeting new people and learning new things. I believe that life is about the people you meet and the things you create with them. I love to be helpful, my motto is: “If I can help, I will.” So don’t be afraid to ask.I help s",Senior operator with extensive ANZ market experience.,"[{""name"": ""Aussie Angels""}, {""name"": ""Startmate""}]",https://linkedin.com/in/cherylmack,,,True,False,,Cheryl Mack
23.5,Blair Lucas,blair-lucas,True,Active Advisor,Group Commercial Director,Acclime,Greater Melbourne Area,Active Advisor; Sales / GTM,international_entrant,,australia,"Group Commercial Director | AcclimeSpeaker | Mentor | Impact/VC/Angel Investor · As Group Commercial Director and Partner of Acclime I am responsible for driving strategic growth, marketing, and sales activities across the Acclime group, whilst continuing to lead our business development in Australia and New Zealand. I lead the team making the complex simple for offshore companies coming to Australia or the USA to undertake research and development, sell their product or invest in a business. I have also been a director of more than 100 companies from over 40 countries and a",Senior operator with extensive ANZ market experience.,"[{""name"": ""Acclime""}, {""name"": ""Acclime Australia""}]",https://linkedin.com/in/blairalucas,,,True,False,,Blair Lucas
23.5,Giovanni Munoz,giovanni-munoz,True,Scaled Founder,Managing Director,Foley,"Sydney, New South Wales, Australia",Scaled Founder; Trade & Government; Cross-border,international_entrant,uk,uk; australia,"Helping companies succeed in international markets! · For more than two decades, Foley has been helping international companies and governments turn opportunity into success across Australia and New Zealand.As a bespoke international business advisory consultancy, Foley specialises in trade development and investment attraction, working closely with economic development agencies, industry associations, and private sector clients to build meaningful partnerships and long-term growth.Our work combines local insight with global reach. With an extensiv",Senior operator with extensive ANZ market experience.,"[{""name"": ""Foley""}, {""name"": ""Great Lakes St. Lawrence Governors & Premiers""}]",https://linkedin.com/in/giovanni-munoz,,,True,False,,Giovanni Munoz
23.5,Emmanuel Bisi,emmanuel-bisi,True,Trade & Government,Founder & Managing Director,Expandys,"Sydney, New South Wales, Australia",Trade & Government; Cross-border,international_entrant,,australia,"Founder I Director I Board member | Country representative | Non-executive Director | Resident Director · Leading Expandys as the Founder & Managing Director, my mission is to foster international growth for over 500 clients, utilising decades of expertise in strategy, market research, and distribution. Our team's success is anchored in multicultural and multilingual collaboration, ensuring seamless global expansion for businesses entering or strengthening their presence in the UK, Australia, and India.My role as Co-Founder & Director at SpaDays Pty Ltd showcases my commitment to innovation in the w",Senior operator with extensive ANZ market experience.,"[{""name"": ""Expandys""}, {""name"": ""SpaDays.com.au""}]",https://linkedin.com/in/emmanuelbisi,,,True,False,,Emmanuel Bisi
23.5,Rafal Jarosz,rafal-jarosz,True,Trade & Government,Global Engagement Manager,Polish Investment and Trade Agency (PAIH),"Canberra, Australian Capital Territory, Australia",Trade & Government; Cross-border,international_entrant,other_eu,other_eu; australia,"Head @ Polish Investment and Trade Agency (Sydney, Australia) · Here's my story:I started my professional career as an academic lecturer, gradually took on more leadership roles at the university where I worked. Then, I moved to government where I spent over 15 years building my career in international business, diplomacy and trade across Europe, United States and recently Australia. Currently, from our office in Sydney, I identify and deliver trade and investment opportunities to businesses across the Asia&Pacific region.I am passionate about impact investm",15+ years operating experience in ANZ and international markets.,"[{""name"": ""Polish Investment and Trade Agency (PAIH)""}, {""name"": ""The Australian National University""}]",https://linkedin.com/in/rafal-jarosz-04216280,,,True,False,,Rafal Jarosz
23.0,Catherine Hughes,catherine-hughes,True,Trade & Government,Associate Director,Investment NSW,Greater Sydney Area,Trade & Government; Cross-border,functional_expert,ireland,ireland; australia,"International Business Connector · People would say that I am a highly motivated, professional with strong interpersonal and networking skills, who demonstrates high attention to client and company values. This I believe to be true, as my extensive professional experience transitioning across various industries has equipped me with invaluable transferrable skills and knowledge, both in highly structured corporate and non-corporate environments across Ireland, Australia (Sydney CBD and Regional Queensland) and USA. Industry experi",Senior operator with extensive ANZ market experience.,"[{""name"": ""Investment NSW""}, {""name"": ""Club Hibernia""}]",https://linkedin.com/in/catherine-hughes,,,True,False,,Catherine Hughes
23.0,Sam Bricknell,sam-bricknell,True,Active Advisor,CEO,Techvisa,Australia,Active Advisor; Immigration / Visa / Mobility; Cross-border,international_entrant,uk,uk; australia,"Visa solutions for Tech start-ups & scale-ups scaling across APAC, UK & USA · Techvisa is a specialist Immigration consultancy focused on global mobility for the IT market in Australia, US, UK and Singapore. We have combined our experience to fill a gap in the Migration market tailored specifically to assisting IT professionals with their visa process across all industries.Techvisa works with start ups, scale ups and established businesses to navigate the always changing legislation to ensure the best possible outcome.With a narrow focus, we can offer up to date immediate",Senior operator with extensive ANZ market experience.,"[{""name"": ""Techvisa""}, {""name"": ""Catalysr - Accelerator for Migrants & Refugees""}]",https://linkedin.com/in/sambricknell,,,True,False,,Sam Bricknell
